date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,169.379,170.648,168.247,168.744,95908393,,,0.014228654055847806,AAPL,large,stooq
2024-03-06,169.676,169.854,167.315,167.752,69147208,-0.005878727539942119,-0.005896075280525384,0.015135438027564592,AAPL,large,stooq
2024-03-07,167.782,169.349,167.126,167.633,72350481,-0.0007093805140921949,-0.0007096322435040817,0.013261112072205261,AAPL,large,stooq
2024-03-08,167.633,172.295,167.574,169.349,76889186,0.010236647915386365,0.010184608274788903,0.027877342056935532,AAPL,large,stooq
2024-03-11,171.541,172.97,170.658,171.353,60630058,0.0118335508328955,0.01176408187613604,0.013492614660963109,AAPL,large,stooq
2024-03-12,171.749,172.622,169.627,171.827,60313394,0.002766219441737272,0.002762400497807568,0.017430322359117047,AAPL,large,stooq
2024-03-13,171.373,171.782,169.379,169.744,52916866,-0.01212265825510539,-0.012196736972757164,0.01415661231030269,AAPL,large,stooq
2024-03-14,171.511,172.898,170.658,171.6,73508296,0.010934112545951447,0.010874767336946076,0.013053613053613107,AAPL,large,stooq
2024-03-15,169.784,171.223,168.906,171.223,122745892,-0.002196969696969586,-0.002199386575415602,0.013532060529251369,AAPL,large,stooq
2024-03-18,174.149,176.272,172.116,172.315,76220921,0.006377647862728653,0.006357396724079336,0.024118619969242246,AAPL,large,stooq
2024-03-19,172.93,175.176,171.63,174.655,55665660,0.0135797812146361,0.013488402326465797,0.020302882826142923,AAPL,large,stooq
2024-03-20,174.298,177.224,173.674,177.224,53858898,0.01470899773839851,0.01460186965138298,0.020031147022976478,AAPL,large,stooq
2024-03-21,175.617,176.054,169.458,169.983,107047439,-0.04085789735024592,-0.041716037130445804,0.03880388038803882,AAPL,large,stooq
2024-03-22,170.37,171.65,168.684,170.885,71740624,0.005306412994240617,0.00529238359345288,0.017356701875530376,AAPL,large,stooq
2024-03-25,169.185,170.549,168.078,169.468,54731182,-0.008292126283758083,-0.008326697206529425,0.014580923832227935,AAPL,large,stooq
2024-03-26,168.625,170.033,168.207,168.337,57856592,-0.006673826327094234,-0.0066961958886121225,0.010847288474904468,AAPL,large,stooq
2024-03-27,169.031,172.196,168.734,171.907,60764941,0.021207458847431138,0.020985710361094128,0.02013879597689442,AAPL,large,stooq
2024-03-28,170.36,170.837,169.13,170.092,66208412,-0.010558034285980233,-0.010614165771659606,0.010035745361333828,AAPL,large,stooq
2024-04-01,169.804,169.864,168.103,168.655,46617704,-0.008448369117889265,-0.008484258871144828,0.010441433696006615,AAPL,large,stooq
2024-04-02,167.712,167.969,166.869,167.474,49731884,-0.007002460644511044,-0.007027092930478836,0.006568183718069637,AAPL,large,stooq
2024-04-03,167.424,169.3,167.216,168.277,48080757,0.004794774114190936,0.00478331579688593,0.01238434248292995,AAPL,large,stooq
2024-04-04,168.911,170.53,167.454,167.454,54142477,-0.004890745615859449,-0.004902744450350195,0.01836922378683097,AAPL,large,stooq
2024-04-05,168.217,169.011,167.584,168.207,42448294,0.00449675731842758,0.004486677112766069,0.00848359461853545,AAPL,large,stooq
2024-04-08,167.663,167.831,166.879,167.087,37730809,-0.0066584624896705025,-0.00668072894631719,0.005697630575688104,AAPL,large,stooq
2024-04-09,167.334,168.704,166.988,168.297,42797503,0.007241736340948268,0.007215640876909383,0.01019626018289101,AAPL,large,stooq
2024-04-10,167.434,167.722,165.758,166.422,50114837,-0.01114101855648053,-0.01120354453955005,0.011801324344137186,AAPL,large,stooq
2024-04-11,166.978,174.039,166.8,173.624,91813176,0.043275528475802405,0.04236531033229012,0.04169354467124347,AAPL,large,stooq
2024-04-12,172.85,176.916,172.8,175.121,102500262,0.008622079896788648,0.008585122049650794,0.023503748836518665,AAPL,large,stooq
2024-04-15,173.94,175.201,171.104,171.293,74131605,-0.021859171658453302,-0.02210162305453571,0.023918081883089092,AAPL,large,stooq
2024-04-16,170.36,172.355,166.909,168.009,74312531,-0.019171828387616663,-0.019357991116867177,0.03241493015255134,AAPL,large,stooq
2024-04-17,168.237,169.27,166.64,166.64,51316434,-0.008148373003827203,-0.008181752444216093,0.01578252520403279,AAPL,large,stooq
2024-04-18,166.67,167.275,165.202,165.688,43474675,-0.0057129140662506295,-0.005729295178866809,0.012511467336198201,AAPL,large,stooq
