date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,199.49,202.85,198.7,201.14,5034661,,,0.020632395346524838,BA,large,stooq
2024-03-06,201.77,202.345,199.8601,201.0,4736636,-0.0006960326140995621,-0.0006962749572585271,0.01236268656716423,BA,large,stooq
2024-03-07,200.7,203.73,200.57,203.03,5965338,0.010099502487562084,0.01004884331507407,0.015564202334630333,BA,large,stooq
2024-03-08,201.84,203.8,198.46,198.49,9010175,-0.02236122740481694,-0.022615030349663574,0.026903118545014877,BA,large,stooq
2024-03-11,194.21,196.07,189.8,192.49,14160616,-0.03022822308428641,-0.030694516697942237,0.03257312068159375,BA,large,stooq
2024-03-12,188.235,188.58,183.16,184.24,18714751,-0.042859369317886586,-0.043804948814114265,0.029418150238819017,BA,large,stooq
2024-03-13,183.16,185.97,182.08,182.35,10196147,-0.010258358662614042,-0.010311338257740589,0.0213326021387441,BA,large,stooq
2024-03-14,182.0,184.9399,180.52,181.15,10016189,-0.006580751302440291,-0.006602499913602919,0.024399116754071123,BA,large,stooq
2024-03-15,180.99,184.18,180.91,182.53,10800678,0.007617996135798943,0.007589125733606477,0.017914863310140854,BA,large,stooq
2024-03-18,180.26,181.19,177.5194,179.84,9497831,-0.014737303456966,-0.014846976369366601,0.020410364768683315,BA,large,stooq
2024-03-19,180.11,181.86,179.735,181.14,7648033,0.007228647686832623,0.007202646241476065,0.011731257590813737,BA,large,stooq
2024-03-20,178.99,188.297,178.6,187.78,12770004,0.03665672960141331,0.03600085188359899,0.051640217275535215,BA,large,stooq
2024-03-21,189.79,190.3843,187.55,187.7,7436385,-0.00042603046117806187,-0.0004261212379383466,0.015100159829515103,BA,large,stooq
2024-03-22,188.75,192.94,188.19,188.85,7826970,0.006126798082045859,0.006108105566002771,0.025152237225311094,BA,large,stooq
2024-03-25,196.01,196.18,189.5001,191.41,12952957,0.013555732062483505,0.013464675099552542,0.034898385664280884,BA,large,stooq
2024-03-26,192.02,192.03,186.81,187.5,8972192,-0.020427354892638805,-0.020638878847552816,0.027839999999999993,BA,large,stooq
2024-03-27,188.84,191.99,188.33,191.95,7372795,0.023733333333333162,0.02345607603634104,0.019067465485803577,BA,large,stooq
2024-03-28,192.0,193.38,191.2,192.99,4471666,0.005418077624381512,0.005403452644212126,0.011295922068500993,BA,large,stooq
2024-04-01,192.24,192.8673,189.03,189.5,5107773,-0.018083838540857045,-0.018249349568537646,0.020249604221635877,BA,large,stooq
2024-04-02,189.0,189.23,187.13,188.04,4477218,-0.007704485488126744,-0.007734318366551364,0.011167836630504118,BA,large,stooq
2024-04-03,187.68,188.78,184.27,184.92,6609307,-0.01659221442246328,-0.016731407035905053,0.02438892494051477,BA,large,stooq
2024-04-04,185.93,188.0,182.81,183.29,6513806,-0.008814622539476513,-0.008853701136268181,0.028315783730699973,BA,large,stooq
2024-04-05,184.16,184.66,182.44,183.14,4130401,-0.000818375252332415,-0.0008187103041704571,0.01212187397619307,BA,large,stooq
2024-04-08,182.14,184.55,181.49,181.56,6176429,-0.008627279676749922,-0.008664710091321115,0.016853932584269676,BA,large,stooq
2024-04-09,181.51,183.05,176.57,178.12,11439940,-0.018946904604538406,-0.019128697134763194,0.0363799685605211,BA,large,stooq
2024-04-10,176.31,178.1,172.44,174.63,9727732,-0.0195935324500337,-0.01978803050174781,0.032411384069174806,BA,large,stooq
2024-04-11,174.47,174.7,171.38,173.36,7625110,-0.007272519040256387,-0.007299092723650066,0.01915089986155972,BA,large,stooq
2024-04-12,172.2,173.24,169.37,169.55,7568297,-0.021977388094139405,-0.022222488656456034,0.02282512533176057,BA,large,stooq
2024-04-15,170.74,171.18,167.53,167.82,6490657,-0.01020347979946934,-0.01025589212972442,0.02174949350494581,BA,large,stooq
2024-04-16,168.14,170.64,167.75,170.55,7986725,0.016267429388630683,0.016136532422731387,0.016945177367340875,BA,large,stooq
2024-04-17,170.0,170.85,168.1215,170.21,8162632,-0.0019935502785106696,-0.0019955400447729927,0.01603019799071733,BA,large,stooq
2024-04-18,169.48,172.04,169.095,170.23,5123020,0.00011750190940595928,0.00011749500659732577,0.017300123362509506,BA,large,stooq
2024-04-19,170.0,172.0,169.65,169.82,4687928,-0.00240850613875343,-0.002411411255261709,0.013838181604051316,BA,large,stooq
2024-04-22,169.82,172.15,168.16,170.48,4724887,0.0038864680249675043,0.0038789352191442136,0.02340450492726425,BA,large,stooq
2024-04-23,170.95,171.18,168.43,169.18,7632123,-0.007625527921163666,-0.0076547509144931315,0.01625487646293888,BA,large,stooq
2024-04-24,176.5,177.64,162.74,164.33,20889273,-0.02866769121645585,-0.029086635682669892,0.09067121036937854,BA,large,stooq
2024-04-25,163.59,168.13,159.7,166.81,12504691,0.015091584007789205,0.01497883897276549,0.05053653857682397,BA,large,stooq
2024-04-26,165.98,168.65,164.93,167.22,7208103,0.0024578862178525895,0.0024548705559477245,0.022246142805884456,BA,large,stooq
2024-04-29,167.9,173.81,167.55,173.49,7805459,0.03749551489056335,0.03680965011632476,0.03608277134128763,BA,large,stooq
2024-04-30,171.49,174.07,167.76,167.84,8248754,-0.03256671854285553,-0.03310881619024957,0.037595328884652064,BA,large,stooq
2024-05-01,167.5,173.86,167.5,171.46,6206091,0.02156816015252616,0.021338858602622784,0.03709319958007706,BA,large,stooq
2024-05-02,173.0,178.9,172.2501,178.85,10223730,0.04310043158754229,0.04219746245441687,0.037181436958345,BA,large,stooq
2024-05-03,179.59,180.49,177.9,179.79,5416263,0.005255800950517253,0.005242037433176892,0.0144056955336782,BA,large,stooq
2024-05-06,180.88,183.98,174.71,178.35,11913389,-0.008009344234940707,-0.008041591333302992,0.051976450798990645,BA,large,stooq
2024-05-07,177.22,178.35,176.13,176.71,5097451,-0.009195402298850519,-0.009237940984936249,0.01256295625601267,BA,large,stooq
2024-05-08,175.95,181.66,175.95,180.35,4956761,0.020598721068417092,0.02038943652958369,0.03166065982811205,BA,large,stooq
2024-05-09,179.55,181.75,179.31,181.25,5107368,0.00499029664541184,0.004977886385236298,0.01346206896551723,BA,large,stooq
2024-05-10,181.25,181.88,177.92,178.51,3715473,-0.015117241379310364,-0.015232671675323372,0.022183631169122225,BA,large,stooq
2024-05-13,179.04,180.75,178.07,178.44,3105206,-0.00039213489440359517,-0.000392211799396711,0.015019054023761526,BA,large,stooq
2024-05-14,180.23,183.66,179.63,180.76,4686537,0.013001569154897918,0.012917774283014834,0.022294755476875424,BA,large,stooq
2024-05-15,180.14,180.67,176.17,176.99,5858857,-0.02085638415578661,-0.02107695074041648,0.02542516526357421,BA,large,stooq
2024-05-16,177.6,183.76,177.25,182.96,6993218,0.03373071924967519,0.03317431591186338,0.03558154787931783,BA,large,stooq
2024-05-17,183.25,185.3799,181.22,184.95,5562368,0.010876694359422734,0.010817968563937207,0.022492024871586882,BA,large,stooq
2024-05-20,184.65,188.63,184.01,186.61,6228560,0.008975398756420727,0.008935359266917357,0.02475751567440118,BA,large,stooq
2024-05-21,185.3,186.39,183.11,184.78,4349117,-0.009806548416483651,-0.009854949302781276,0.017750838835371645,BA,large,stooq
2024-05-22,184.6,186.8183,183.41,186.28,3785412,0.008117761662517653,0.008084989871577443,0.018296650203993972,BA,large,stooq
2024-05-23,185.79,186.0,171.61,172.21,17115954,-0.07553145802018468,-0.07853625579736838,0.0835607688287555,BA,large,stooq
2024-05-24,173.2,174.8595,169.57,174.52,9489380,0.013413855176819034,0.013324685938600797,0.03030884712353887,BA,large,stooq
2024-05-28,174.73,178.4914,173.38,175.08,5274390,0.0032088012835205237,0.0032036640672857427,0.02919465387251544,BA,large,stooq
2024-05-29,173.61,175.8299,171.61,171.65,3666368,-0.019591044094128485,-0.019785492418993612,0.024584328575589835,BA,large,stooq
2024-05-30,172.64,174.68,171.5501,172.75,3927919,0.006408389163996553,0.006387942744078264,0.0181180897250363,BA,large,stooq
2024-05-31,173.12,177.9,172.21,177.61,5774549,0.028133140376266352,0.027744672631456226,0.032036484432182856,BA,large,stooq
2024-06-03,178.09,186.01,178.0197,184.57,8951574,0.039186982714937146,0.03843866003996438,0.04329143414422707,BA,large,stooq
2024-06-04,185.05,188.84,183.25,188.62,7176817,0.021942894294847637,0.021705613796539024,0.029636305800021225,BA,large,stooq
2024-06-05,187.9,190.34,186.5268,189.85,5943952,0.006521047608949226,0.006499877562072591,0.020085330524097944,BA,large,stooq
2024-06-06,188.83,192.1,187.35,191.42,5942160,0.008269686594680081,0.008235680089949142,0.024814543934803052,BA,large,stooq
2024-06-07,190.46,191.98,189.66,190.24,3374548,-0.006164455124856194,-0.0061835338252885595,0.012195121951219476,BA,large,stooq
2024-06-10,190.0,192.63,189.6,190.12,4388254,-0.0006307821698906535,-0.0006309811966630066,0.015937302756154015,BA,large,stooq
2024-06-11,189.32,189.32,182.75,185.5,5010058,-0.024300441826215047,-0.024600569698318878,0.03541778975741236,BA,large,stooq
2024-06-12,186.5,187.16,181.71,182.67,5245156,-0.015256064690027049,-0.015373635758897525,0.029835221985000212,BA,large,stooq
2024-06-13,181.74,183.87,178.99,180.7,4201004,-0.010784474735862526,-0.010843048690409635,0.02700608743774209,BA,large,stooq
2024-06-14,178.9,180.2899,175.22,177.27,5105974,-0.01898173768677358,-0.019164203572489814,0.02859987589552654,BA,large,stooq
