date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,808.466,815.761,799.802,803.269,512261,,,0.01986756615778767,BLK,large,stooq
2024-03-06,807.188,813.58,801.9,811.635,550494,0.010414941943483358,0.01036108009155782,0.014390705181516401,BLK,large,stooq
2024-03-07,819.053,820.255,810.883,812.907,393595,0.001567206934151466,0.0015659801469499212,0.011528994091574998,BLK,large,stooq
2024-03-08,816.962,825.907,814.881,817.226,405377,0.005313030887912129,0.005298966533542983,0.013491983857586601,BLK,large,stooq
2024-03-11,816.766,817.172,803.688,806.513,438757,-0.013108980869429021,-0.013195661926064894,0.016718887358294333,BLK,large,stooq
2024-03-12,811.361,815.418,803.67,810.845,448809,0.0053712711388409495,0.005356897309534423,0.014488589064494505,BLK,large,stooq
2024-03-13,810.433,812.823,804.608,807.325,522707,-0.004341150281496398,-0.00435060043398482,0.01017557984702571,BLK,large,stooq
2024-03-14,806.357,806.642,782.528,790.524,878907,-0.02081070200972357,-0.021030296623796563,0.03050381772090415,BLK,large,stooq
2024-03-15,783.476,795.408,780.3,784.386,1613391,-0.0077644701489139045,-0.0077947705937672735,0.019260925105751583,BLK,large,stooq
2024-03-18,787.983,788.05,775.893,782.167,649481,-0.0028289643109387086,-0.002832973393294112,0.015542716580985806,BLK,large,stooq
2024-03-19,778.316,785.705,774.904,784.17,607663,0.0025608341952549907,0.0025575608465118528,0.013773799048675728,BLK,large,stooq
2024-03-20,785.939,800.727,782.592,799.408,461839,0.01943201091600044,0.019245620153362862,0.022685537297600214,BLK,large,stooq
2024-03-21,804.92,825.554,803.641,823.032,658346,0.029551868382603264,0.02912362832691919,0.026624724190553964,BLK,large,stooq
2024-03-22,821.82,823.281,803.875,806.191,629473,-0.020462144849774933,-0.020674394921950057,0.024071218855085147,BLK,large,stooq
2024-03-25,801.9,808.303,796.75,797.766,386940,-0.010450377143877865,-0.010505365771871479,0.014481690119659146,BLK,large,stooq
2024-03-26,800.953,805.259,799.448,801.666,382759,0.0048886515594799285,0.004876740904699421,0.00724865467663595,BLK,large,stooq
2024-03-27,808.117,816.63,803.904,816.248,477460,0.01818962011610825,0.018026168087355528,0.015590849839754582,BLK,large,stooq
2024-03-28,817.324,819.728,812.241,814.862,544502,-0.0016980133488843085,-0.0016994566075638638,0.0091880588369564,BLK,large,stooq
2024-04-01,816.112,816.248,806.592,808.088,405042,-0.00831306405256349,-0.008347810268542262,0.011949193652176573,BLK,large,stooq
2024-04-02,806.846,807.247,791.696,798.138,542952,-0.012313015414162742,-0.012389448652259931,0.0194840992409833,BLK,large,stooq
2024-04-03,797.023,807.414,795.176,796.388,378209,-0.0021926032841438348,-0.0021950105581663025,0.015366881469836238,BLK,large,stooq
2024-04-04,803.797,807.844,772.325,774.191,1216921,-0.027872092497626788,-0.028267891098545446,0.04587885935124537,BLK,large,stooq
2024-04-05,775.697,786.096,772.265,779.538,703220,0.006906564400774418,0.00688282333497936,0.017742560337020156,BLK,large,stooq
2024-04-08,783.408,789.291,778.826,785.168,777814,0.007222226498259321,0.007196271115971035,0.01332835775273576,BLK,large,stooq
2024-04-09,788.012,788.012,776.234,785.735,820639,0.0007221384468036884,0.0007218778302954319,0.014989786632897741,BLK,large,stooq
2024-04-10,775.853,777.158,763.273,765.941,669526,-0.02519169949155886,-0.025514442178663287,0.018128028137937506,BLK,large,stooq
2024-04-11,767.749,771.484,761.201,768.2,830810,0.002949313328311165,0.002944972636369619,0.013385837021608976,BLK,large,stooq
