date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,55.75,57.56,55.75,56.26,19653931,,,0.03217205830074658,C,large,stooq
2024-03-06,57.07,57.55,56.0099,57.29,17845039,0.018307856381087895,0.018142285358775732,0.02688252749170877,C,large,stooq
2024-03-07,57.54,58.12,57.03,57.72,14720287,0.007505672892302417,0.007477645485183781,0.01888426888426882,C,large,stooq
2024-03-08,58.04,58.39,57.255,57.51,13028024,-0.0036382536382536523,-0.003644888180007318,0.019735698139453976,C,large,stooq
2024-03-11,57.15,57.54,56.63,57.41,9176946,-0.0017388280299078795,-0.0017403415461174155,0.015850897056261918,C,large,stooq
2024-03-12,57.51,57.925,57.08,57.45,10953989,0.0006967427277477789,0.0006965001152192468,0.014708442123585706,C,large,stooq
2024-03-13,57.5,58.37,57.46,57.76,12982774,0.00539599651871181,0.005381490289805988,0.015754847645429303,C,large,stooq
2024-03-14,58.33,58.665,56.635,57.09,18833597,-0.011599722991689654,-0.011667524608402877,0.035557891049220545,C,large,stooq
2024-03-15,56.45,57.75,56.45,57.61,26164256,0.009108425293396394,0.009067193768123937,0.02256552681826067,C,large,stooq
2024-03-18,57.85,58.655,57.56,58.63,13994637,0.0177052595035585,0.017550347231832058,0.01867644550571378,C,large,stooq
2024-03-19,58.59,59.32,58.54,58.86,13455324,0.0039229063619306,0.003915231829202849,0.013251783893985748,C,large,stooq
2024-03-20,58.49,60.34,58.46,60.13,20269922,0.021576622494053677,0.021347142246150582,0.03126559121902549,C,large,stooq
2024-03-21,60.31,61.545,60.31,61.33,17892063,0.019956760352569436,0.019760234586415053,0.020136963965432894,C,large,stooq
2024-03-22,61.04,61.67,60.58,60.82,16206751,-0.008315669329854836,-0.008350437388673724,0.017921736270963554,C,large,stooq
2024-03-25,60.89,61.52,60.58,60.95,12040348,0.0021374547846104708,0.002135173678062089,0.0154224774405251,C,large,stooq
2024-03-26,61.15,61.95,61.0,61.66,17947413,0.011648892534864563,0.011581566530723689,0.015407071034706501,C,large,stooq
2024-03-27,62.03,62.76,61.72,62.75,16684396,0.017677586766136955,0.01752315555388904,0.016573705179282854,C,large,stooq
2024-03-28,62.73,63.365,62.58,63.24,19011955,0.007808764940238966,0.007778434329377923,0.012413029728020298,C,large,stooq
2024-04-01,63.6,63.9,63.02,63.46,14223891,0.0034788108791903305,0.003472773813778185,0.013867002836432326,C,large,stooq
2024-04-02,62.65,63.59,62.65,62.84,16062020,-0.009769933816577314,-0.009817972767629043,0.014958625079567231,C,large,stooq
2024-04-03,62.86,63.39,61.5199,61.69,18079907,-0.01830044557606625,-0.018469970165873185,0.030314475603825594,C,large,stooq
2024-04-04,62.15,62.74,60.75,60.91,13401117,-0.012643864483708911,-0.012724478373154062,0.03267115416187821,C,large,stooq
2024-04-05,60.82,62.04,60.4237,61.6,12686337,0.011328189131505573,0.01126450569108091,0.026238636363636405,C,large,stooq
2024-04-08,61.67,62.32,61.66,61.73,10708294,0.0021103896103895625,0.0021081658663303785,0.010691722015227665,C,large,stooq
2024-04-09,61.75,62.09,60.905,61.66,10302993,-0.0011339705167665581,-0.001134613947800214,0.019218293869607564,C,large,stooq
2024-04-10,60.52,61.305,59.97,60.18,18087994,-0.024002594875121575,-0.024295351256105074,0.022183449651046874,C,large,stooq
2024-04-11,60.35,60.89,59.5,60.71,18181851,0.008806912595546779,0.0087683579404436,0.022895733816504702,C,large,stooq
2024-04-12,62.29,62.6,58.75,59.68,28561854,-0.0169659034755395,-0.01711147324683732,0.06451072386058984,C,large,stooq
2024-04-15,60.18,60.91,58.19,58.56,19242295,-0.018766756032171594,-0.018945086242449304,0.04644808743169397,C,large,stooq
2024-04-16,58.18,58.55,56.74,57.02,23211424,-0.026297814207650205,-0.026649786168530115,0.03174324798316371,C,large,stooq
2024-04-17,57.49,58.89,57.36,58.17,15971649,0.020168361978253113,0.019967674438144064,0.026302217637957728,C,large,stooq
2024-04-18,58.49,58.97,57.93,58.32,12272458,0.002578648788035043,0.0025753297777325536,0.017832647462277078,C,large,stooq
2024-04-19,58.23,59.439,58.23,59.15,13367493,0.014231824417009653,0.014131502723993125,0.020439560439560495,C,large,stooq
2024-04-22,59.44,61.055,59.2,60.95,14513095,0.030431107354184306,0.029977265502884775,0.030434782608695598,C,large,stooq
