date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,785.31,788.53,769.275,777.59,3168689,,,0.02476240692395735,LLY,large,stooq
2024-03-06,784.29,787.85,774.0,779.77,2518587,0.002803533996064589,0.0027996114242963234,0.017761647665337246,LLY,large,stooq
2024-03-07,771.835,792.99,761.12,780.16,3977376,0.0005001474793848715,0.0005000224473222141,0.040850594749794925,LLY,large,stooq
2024-03-08,780.0,780.0,755.0,762.14,4054925,-0.02309782608695654,-0.02336876100782957,0.03280237226756239,LLY,large,stooq
2024-03-11,752.21,756.8,727.62,734.37,3968854,-0.03643687511480831,-0.037117277046315,0.03973473861949692,LLY,large,stooq
2024-03-12,740.96,755.97,738.01,754.95,2701718,0.028024020589076493,0.027638533091771358,0.023789654944036075,LLY,large,stooq
2024-03-13,757.0,760.77,745.71,757.84,2357486,0.0038280680839790637,0.003820759676800337,0.019872268552728736,LLY,large,stooq
2024-03-14,764.95,768.0,749.4,760.73,2647549,0.003813469861712271,0.003806217018670253,0.024450199150815692,LLY,large,stooq
2024-03-15,755.38,760.89,747.7065,754.17,3730053,-0.00862329604458878,-0.008660691800242709,0.01748080671466643,LLY,large,stooq
2024-03-18,762.28,769.68,758.25,762.66,2521351,0.011257408807032965,0.011194515748926034,0.014987019117299912,LLY,large,stooq
2024-03-19,758.44,773.85,755.0,772.78,2557079,0.013269346760024225,0.013182080111600696,0.024392453220839078,LLY,large,stooq
2024-03-20,770.11,773.16,756.64,772.86,2038008,0.0001035223478869085,0.00010351698981843586,0.021375152032709652,LLY,large,stooq
2024-03-21,774.0,780.5399,758.88,770.26,3013157,-0.00336412804388897,-0.0033697994457571193,0.02812024511204008,LLY,large,stooq
2024-03-22,770.0,777.0,767.28,770.61,1981019,0.0004543920234725274,0.0004542888186794693,0.012613384202125624,LLY,large,stooq
2024-03-25,771.1,778.49,768.15,773.14,1806584,0.003283113377713809,0.0032777357280627147,0.013374033163463321,LLY,large,stooq
2024-03-26,774.2,778.3299,769.0,774.9,2099042,0.0022764311767597967,0.0022738440328679507,0.012040134210865857,LLY,large,stooq
2024-03-27,778.71,785.2599,767.38,778.18,2297713,0.004232804232804144,0.004223871116185022,0.022976560692898843,LLY,large,stooq
2024-03-28,780.32,793.67,776.44,777.96,3209424,-0.00028271094091325555,-0.0002827509111848445,0.022147668260578825,LLY,large,stooq
2024-04-01,776.0,777.5,753.82,760.55,2921338,-0.022379042624299572,-0.022633253217152784,0.03113536256656361,LLY,large,stooq
2024-04-02,755.07,765.07,753.5,763.96,2596789,0.004483597396621075,0.004473576017202037,0.015144771977590515,LLY,large,stooq
2024-04-03,765.69,787.2475,765.41,775.99,3044910,0.015746897743337263,0.015624201727293828,0.028141470895243464,LLY,large,stooq
2024-04-04,781.54,787.8969,767.82,768.08,2353992,-0.010193430327710362,-0.0102457391128793,0.02613907405478584,LLY,large,stooq
2024-04-05,765.47,786.705,763.09,784.21,2113429,0.02100041662326846,0.02078294723657694,0.03011310745846139,LLY,large,stooq
2024-04-08,785.02,785.195,773.35,777.29,1664153,-0.008824166996085347,-0.008863330518197696,0.015238842645602064,LLY,large,stooq
2024-04-09,777.64,777.82,750.65,757.24,2464837,-0.02579474842079532,-0.02613326696603844,0.03588030214991294,LLY,large,stooq
2024-04-10,751.28,765.26,746.83,761.98,1700296,0.0062595742433047,0.006240064481325862,0.024186986535079596,LLY,large,stooq
2024-04-11,759.78,763.33,750.67,759.59,1594834,-0.003136565264180158,-0.003141494595152605,0.016666886083281877,LLY,large,stooq
2024-04-12,759.57,763.5,749.785,751.64,2495037,-0.010466172540449459,-0.010521328106930579,0.018246767069341748,LLY,large,stooq
2024-04-15,760.07,768.0,749.52,750.77,2358569,-0.0011574690011175726,-0.0011581393857113646,0.024614728878351585,LLY,large,stooq
2024-04-16,751.68,753.14,743.0,746.74,2569799,-0.005367822369034436,-0.005382280891257514,0.013579023488764478,LLY,large,stooq
2024-04-17,759.2,771.83,744.8776,750.77,3069367,0.00539679138656024,0.005382280891257527,0.035899676332298854,LLY,large,stooq
2024-04-18,749.42,752.1988,743.77,745.95,1717347,-0.0064200753892669216,-0.006440772706383135,0.011299416850995406,LLY,large,stooq
2024-04-19,749.16,750.01,722.07,726.31,3503871,-0.02632884241571165,-0.026681652896263248,0.03846842257438276,LLY,large,stooq
2024-04-22,729.74,737.88,725.42,731.33,2354096,0.006911649295755495,0.006887873338943476,0.017037452312909405,LLY,large,stooq
2024-04-23,741.2,746.16,731.44,745.69,2042029,0.01963545868486194,0.01944516996970752,0.01974010647856336,LLY,large,stooq
2024-04-24,752.64,752.64,728.785,732.2,2133427,-0.018090627472542198,-0.018256263555108947,0.032579896203223185,LLY,large,stooq
2024-04-25,725.0,727.9915,718.3,724.87,2608752,-0.01001092597650921,-0.010061372254310582,0.013369983583263231,LLY,large,stooq
2024-04-26,723.48,737.45,721.0,733.51,2009249,0.011919378647205603,0.011848902323445888,0.02242641545445876,LLY,large,stooq
2024-04-29,735.75,740.58,729.61,737.2,2732584,0.005030606263036752,0.005017995040397036,0.014880629408573015,LLY,large,stooq
2024-04-30,775.0,795.4975,767.66,781.1,7437105,0.05954964731416168,0.05784395682058339,0.035638842657790264,LLY,large,stooq
2024-05-01,774.755,782.605,768.25,776.75,2804838,-0.005569069261298187,-0.005584634343094853,0.01848084969423884,LLY,large,stooq
2024-05-02,777.34,777.34,754.29,755.91,3205628,-0.026829739298358635,-0.027196226799401743,0.03049304811419358,LLY,large,stooq
2024-05-03,743.0,745.0,730.34,734.97,4595138,-0.027701710521093714,-0.028092639420457925,0.019946392369756545,LLY,large,stooq
2024-05-06,738.04,766.99,736.0,766.68,3398280,0.04314461814767934,0.04223982234895492,0.04042103615589296,LLY,large,stooq
2024-05-07,768.9,779.09,762.11,777.77,2879447,0.01446496582668133,0.014361346248978482,0.021831646887897474,LLY,large,stooq
2024-05-08,779.1,781.3499,772.2,775.0,2089934,-0.0035614641860703955,-0.003567821297883609,0.011806322580645165,LLY,large,stooq
2024-05-09,777.0,784.0,769.2,771.55,2522085,-0.004451612903225821,-0.00446155083613323,0.01918216577020278,LLY,large,stooq
2024-05-10,774.02,777.42,760.0,760.0,2082289,-0.014969865854448816,-0.015083045236836996,0.022921052631578894,LLY,large,stooq
2024-05-13,763.5,763.55,750.53,757.7,1848926,-0.0030263157894736548,-0.0030309043430490337,0.017183581892569594,LLY,large,stooq
2024-05-14,751.52,764.5,751.52,763.98,1956229,0.008288240728520524,0.008254081876071493,0.01698997355951729,LLY,large,stooq
2024-05-15,764.15,787.66,763.1,787.02,3038253,0.030157857535537458,0.029712050241710017,0.0312063225839241,LLY,large,stooq
2024-05-16,784.71,786.48,770.14,771.12,2299653,-0.02020279027216587,-0.020409657579396594,0.02118995746446731,LLY,large,stooq
2024-05-17,772.89,774.87,767.1,770.0,1670317,-0.001452432824981864,-0.0014534886279831975,0.010090909090909067,LLY,large,stooq
2024-05-20,766.9,784.325,766.12,783.18,2188818,0.017116883116883086,0.01697203978102387,0.023244975612247556,LLY,large,stooq
2024-05-21,792.46,816.61,791.39,803.17,4334499,0.02552414515181689,0.025203843013550754,0.03140057522068806,LLY,large,stooq
2024-05-22,801.0,804.88,795.25,802.91,1767519,-0.000323717270316326,-0.0003237696780623767,0.011993872289546768,LLY,large,stooq
2024-05-23,810.0,820.605,802.155,808.45,3025781,0.0068999016079014375,0.0068762062215819535,0.022821448450739124,LLY,large,stooq
2024-05-24,808.0,810.12,804.15,807.43,1778120,-0.0012616735728865347,-0.0012624701530754027,0.0073938298056797835,LLY,large,stooq
2024-05-28,809.0,809.0,788.25,807.86,2483454,0.0005325539056018069,0.0005324121490970417,0.025685143465451934,LLY,large,stooq
2024-05-29,803.0,815.61,802.09,811.53,2380041,0.004542866338226981,0.004532578666189464,0.016659889344817793,LLY,large,stooq
2024-05-30,812.79,819.99,806.11,815.06,1986290,0.004349808386627796,0.004340375314937802,0.017029421146909425,LLY,large,stooq
2024-05-31,818.8,826.21,811.1,820.34,4472119,0.006478050695654325,0.006457158304684296,0.01841919204232393,LLY,large,stooq
2024-06-03,823.83,838.28,818.5,831.26,2537239,0.013311553746007787,0.013223733505234403,0.023795202463729726,LLY,large,stooq
2024-06-04,834.0,835.47,825.31,832.59,1748288,0.0015999807521112075,0.0015987021465554768,0.012202884973396368,LLY,large,stooq
2024-06-05,830.49,838.45,817.62,831.76,2169003,-0.0009968892251889239,-0.000997386449731899,0.02504328171587963,LLY,large,stooq
2024-06-06,834.88,846.9742,831.88,837.29,2108975,0.006648552467057867,0.006626548318748349,0.018027445687873976,LLY,large,stooq
2024-06-07,837.76,856.81,837.01,849.99,2468834,0.01516798241947237,0.015054098720812058,0.023294391698725814,LLY,large,stooq
2024-06-10,853.98,871.63,849.39,865.0,3444498,0.01765903128272095,0.01750492222260421,0.025710982658959547,LLY,large,stooq
2024-06-11,882.14,882.14,852.23,865.82,4109073,0.0009479768786126996,0.0009475278322994482,0.03454528654916723,LLY,large,stooq
2024-06-12,872.0,872.0,853.85,867.3,2594601,0.0017093622230948124,0.0017079029262312244,0.020927014873746083,LLY,large,stooq
2024-06-13,869.025,885.06,861.5,883.33,2243419,0.018482647296206745,0.018313919029722608,0.026671798761504696,LLY,large,stooq
2024-06-14,882.33,884.61,876.0,878.45,2023264,-0.005524549149242053,-0.005539865909069324,0.009801354658773992,LLY,large,stooq
2024-06-17,878.0,892.2,876.86,885.01,2532240,0.0074676987876372,0.007439953568056308,0.017333137478672593,LLY,large,stooq
2024-06-18,887.0,894.87,884.0,891.46,2437038,0.007288053242336279,0.007261623717804234,0.012193480358064303,LLY,large,stooq
2024-06-20,893.0,905.45,870.13,885.99,3359987,-0.00613600161532768,-0.006154904237253544,0.03986500976308993,LLY,large,stooq
2024-06-21,885.66,891.97,879.8,883.88,3448680,-0.0023815167214077393,-0.0023843570427662135,0.013768837398741993,LLY,large,stooq
2024-06-24,889.975,903.5786,882.94,890.11,2878199,0.007048468117843987,0.00702374377760408,0.023186572446102165,LLY,large,stooq
2024-06-25,891.77,909.42,891.5,904.61,2839806,0.016290121445664107,0.016158860997905113,0.019809641724057837,LLY,large,stooq
2024-06-26,904.0,906.345,897.84,901.26,2232075,-0.0037032533356916586,-0.00371012735439525,0.009436788496105448,LLY,large,stooq
