date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,55.71,57.1,55.43,56.6,21786061,,,0.02950530035335692,WFC,large,stooq
2024-03-06,56.82,57.39,56.27,57.11,25418597,0.009010600706713667,0.008970247467634187,0.019611276483978243,WFC,large,stooq
2024-03-07,57.05,57.68,56.87,57.0,18116285,-0.0019261075118193194,-0.0019279648422214212,0.014210526315789514,WFC,large,stooq
2024-03-08,57.21,57.54,56.88,57.07,17872502,0.001228070175438578,0.0012273167140665483,0.011564745049938612,WFC,large,stooq
2024-03-11,56.775,57.345,56.52,57.09,16622044,0.00035044681969509384,0.00035038542755107895,0.014450867052023047,WFC,large,stooq
2024-03-12,57.25,58.11,57.1,57.61,23622972,0.009108425293396394,0.009067193768123937,0.017531678528033293,WFC,large,stooq
2024-03-13,57.62,58.44,57.62,57.82,17444934,0.0036452004860267895,0.003638572843908311,0.014181943964026293,WFC,large,stooq
2024-03-14,57.87,58.125,57.12,57.37,24851140,-0.0077827741265998895,-0.007813217974420406,0.017517866480739108,WFC,large,stooq
2024-03-15,56.86,58.3,56.86,57.51,40782798,0.002440299808262214,0.0024373271118831815,0.02503912363067289,WFC,large,stooq
2024-03-18,57.6,57.83,57.11,57.77,16376548,0.0045209528777605534,0.004510764067511511,0.012463216202181042,WFC,large,stooq
2024-03-19,57.645,57.94,56.92,57.01,14504755,-0.013155617102302286,-0.013242918749683722,0.017891597965269183,WFC,large,stooq
2024-03-20,56.62,57.51,56.28,57.3,22841550,0.005086826872478412,0.005073932677203283,0.02146596858638738,WFC,large,stooq
2024-03-21,57.59,58.115,57.45,57.85,18141700,0.009598603839441555,0.00955282991899172,0.011495246326706985,WFC,large,stooq
2024-03-22,57.81,58.015,57.12,57.13,13736607,-0.012445980985306804,-0.01252408090331439,0.015666024855592563,WFC,large,stooq
2024-03-25,57.075,57.33,56.37,56.73,15028154,-0.007001575354454892,-0.007026201397895488,0.016922263352723444,WFC,large,stooq
2024-03-26,57.14,57.15,56.59,56.68,11445879,-0.0008813678829543425,-0.0008817565159961282,0.009880028228651997,WFC,large,stooq
2024-03-27,56.38,57.64,56.38,57.61,13762768,0.016407904022582853,0.016274748921811993,0.021871202916160355,WFC,large,stooq
2024-03-28,57.66,58.075,57.56,57.96,14618982,0.0060753341433779084,0.006056953708189903,0.00888543823326433,WFC,large,stooq
2024-04-01,57.88,57.88,57.26,57.61,11039467,-0.006038647342995196,-0.006056953708189907,0.01076202048255519,WFC,large,stooq
2024-04-02,57.36,58.0,57.19,57.35,14632878,-0.004513105363652126,-0.004523320168912034,0.014123801220575454,WFC,large,stooq
2024-04-03,57.2,57.96,56.85,57.13,13226477,-0.0038360941586748076,-0.003843470839008535,0.019429371608611926,WFC,large,stooq
2024-04-04,57.73,58.0,56.54,56.68,12361915,-0.0078767722737616,-0.007907957913891484,0.025758645024700086,WFC,large,stooq
2024-04-05,56.63,57.62,56.57,57.4,11080968,0.01270289343683828,0.012622888503040938,0.01829268292682922,WFC,large,stooq
2024-04-08,57.375,57.98,57.31,57.79,15308824,0.006794425087107925,0.006771447004165784,0.011593701332410358,WFC,large,stooq
2024-04-09,57.7,57.99,56.87,57.58,10645952,-0.003633846686277864,-0.0036404651456567543,0.019451198332754507,WFC,large,stooq
2024-04-10,56.79,57.295,56.42,56.94,16475238,-0.011114970475859631,-0.011177203334138273,0.015367053038285916,WFC,large,stooq
2024-04-11,56.98,57.0,55.625,56.69,18995594,-0.004390586582367351,-0.0044002535136791155,0.024254718645263715,WFC,large,stooq
2024-04-12,55.97,57.0,55.34,56.47,27876733,-0.0038807549832421406,-0.003888304651466948,0.029396139543120182,WFC,large,stooq
2024-04-15,57.61,57.98,56.735,56.97,19407516,0.008854258898530087,0.00881528980755877,0.02185360716166399,WFC,large,stooq
2024-04-16,56.9,56.96,55.66,56.41,25620002,-0.009829734948218372,-0.009878365740419483,0.023045559297996888,WFC,large,stooq
2024-04-17,56.88,57.63,56.65,57.18,18867719,0.01365006204573671,0.013557739142281153,0.01713885974116831,WFC,large,stooq
2024-04-18,57.625,59.13,57.22,58.74,24468521,0.02728226652675758,0.026916738876308244,0.03251617296561123,WFC,large,stooq
2024-04-19,59.0,60.85,58.855,60.355,34329433,0.02749404153898527,0.027122868382616298,0.033054427967856924,WFC,large,stooq
2024-04-22,60.4,61.485,60.34,61.1,21753384,0.012343633501781248,0.012268072024459358,0.018739770867430377,WFC,large,stooq
2024-04-23,61.17,61.76,60.81,60.94,21731239,-0.002618657937806912,-0.0026220926199866917,0.015589104036757397,WFC,large,stooq
2024-04-24,60.6,60.95,60.05,60.6,19731585,-0.0055792582868394724,-0.005594880482294176,0.014851485148514944,WFC,large,stooq
2024-04-25,60.61,60.96,59.6,59.93,24002548,-0.011056105610561029,-0.011117678605174854,0.02269314199899882,WFC,large,stooq
2024-04-26,59.78,60.43,59.375,59.91,18785900,-0.00033372267645592757,-0.0003337783742604096,0.01760974795526623,WFC,large,stooq
