date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,23.81,24.2,23.69,23.81,1303962,,,0.021419571608567747,ACAD,mid,stooq
2024-03-06,24.02,24.16,22.98,23.2,2178239,-0.025619487610247793,-0.025953381826507138,0.05086206896551723,ACAD,mid,stooq
2024-03-07,23.42,24.13,23.32,23.52,1557831,0.01379310344827589,0.013698844358161927,0.03443877551020403,ACAD,mid,stooq
2024-03-08,23.93,24.14,23.22,23.44,2042090,-0.00340136054421758,-0.0034071583216141975,0.03924914675767925,ACAD,mid,stooq
2024-03-11,23.3,24.27,23.26,24.13,2077414,0.029436860068259296,0.02901191492812841,0.04185661002900945,ACAD,mid,stooq
2024-03-12,19.49,20.49,19.1099,19.98,7402568,-0.17198508081226682,-0.18872410641653284,0.06907407407407401,ACAD,mid,stooq
2024-03-13,19.91,20.34,19.16,19.56,2638777,-0.021021021021021102,-0.021245108613736265,0.06032719836400817,ACAD,mid,stooq
2024-03-14,19.48,19.5,18.545,18.73,2768336,-0.04243353783231074,-0.04336014815067403,0.050987720234917155,ACAD,mid,stooq
2024-03-15,18.62,18.8329,18.21,18.48,3760014,-0.013347570742124892,-0.013437450242459003,0.03370670995670984,ACAD,mid,stooq
2024-03-18,18.59,18.77,18.16,18.72,2189602,0.01298701298701288,0.012903404835907782,0.03258547008547006,ACAD,mid,stooq
2024-03-19,18.63,18.905,18.47,18.7,2016922,-0.0010683760683760646,-0.0010689471889050444,0.02326203208556162,ACAD,mid,stooq
2024-03-20,18.6,18.78,18.3,18.66,1404300,-0.002139037433155022,-0.0021413284413431153,0.025723472668810313,ACAD,mid,stooq
2024-03-21,18.67,18.995,18.31,18.41,1968068,-0.013397642015005373,-0.013488200174211293,0.03720803910917991,ACAD,mid,stooq
2024-03-22,18.34,18.39,17.91,17.95,1480951,-0.02498642042368282,-0.025303880310698648,0.026740947075208937,ACAD,mid,stooq
2024-03-25,18.0,18.2,17.56,17.84,1845162,-0.006128133704735306,-0.00614698778242449,0.03587443946188344,ACAD,mid,stooq
2024-03-26,17.95,18.03,17.68,17.79,1445409,-0.002802690582959677,-0.0028066254741195788,0.019673974142776923,ACAD,mid,stooq
2024-03-27,17.9,18.2,17.73,18.2,1701367,0.023046655424395768,0.022785092405005928,0.025824175824175764,ACAD,mid,stooq
2024-03-28,18.2,18.5,18.05,18.49,1531606,0.015934065934065877,0.015808451316283757,0.024337479718766864,ACAD,mid,stooq
2024-04-01,18.59,18.59,17.91,18.26,1243033,-0.012439156300702914,-0.0125171702322109,0.037239868565169754,ACAD,mid,stooq
2024-04-02,18.04,18.25,17.86,18.11,1276398,-0.008214676889375827,-0.00824860327150054,0.021535063500828303,ACAD,mid,stooq
2024-04-03,18.0,18.465,18.0,18.42,1334396,0.01711761457758154,0.016972758931838864,0.02524429967426709,ACAD,mid,stooq
2024-04-04,18.52,18.63,18.02,18.05,1167947,-0.02008686210640609,-0.020291346048270868,0.03379501385041548,ACAD,mid,stooq
2024-04-05,17.91,18.25,17.61,18.01,1522875,-0.002216066481994461,-0.0022185255910252173,0.03553581343697949,ACAD,mid,stooq
2024-04-08,17.87,18.08,17.63,17.8,1725485,-0.011660188784008985,-0.011728701889825348,0.025280898876404452,ACAD,mid,stooq
2024-04-09,17.94,18.245,17.84,18.15,1371820,0.019662921348314377,0.0194721034128201,0.022314049586776925,ACAD,mid,stooq
2024-04-10,17.72,17.77,17.55,17.73,1147291,-0.02314049586776845,-0.023412440624743118,0.01240834743372808,ACAD,mid,stooq
2024-04-11,17.9,17.9,17.34,17.41,1521802,-0.018048505358150058,-0.01821336630601888,0.03216542217116592,ACAD,mid,stooq
2024-04-12,17.4,17.615,16.85,17.14,1296092,-0.015508328546812167,-0.015629840610463932,0.04463243873978979,ACAD,mid,stooq
2024-04-15,17.13,17.28,16.765,16.89,1112106,-0.014585764294049008,-0.014693182349925026,0.03049141503848434,ACAD,mid,stooq
2024-04-16,16.75,17.2,16.6,17.08,978294,0.011249259917110566,0.01118645754071495,0.03512880562060878,ACAD,mid,stooq
2024-04-17,17.25,17.25,16.97,17.19,1027814,0.0064402810304451386,0.006419631034334255,0.01628853984874934,ACAD,mid,stooq
2024-04-18,17.26,17.35,17.01,17.07,988365,-0.006980802792321161,-0.007005282588408688,0.019917984768599874,ACAD,mid,stooq
2024-04-19,16.98,17.295,16.62,16.81,3627986,-0.015231400117164728,-0.015348589385825118,0.04015466983938137,ACAD,mid,stooq
2024-04-22,17.05,17.34,16.94,16.99,1156988,0.010707911957168248,0.010650988263316313,0.023543260741612632,ACAD,mid,stooq
2024-04-23,17.09,17.24,16.605,16.74,1476024,-0.014714537963507968,-0.014823870622511417,0.03793309438470717,ACAD,mid,stooq
2024-04-24,16.81,16.86,16.55,16.59,1296887,-0.008960573476702427,-0.009000960858976056,0.018685955394816076,ACAD,mid,stooq
2024-04-25,16.5,16.51,16.16,16.31,1660634,-0.016877637130801704,-0.017021687569430635,0.02145922746781125,ACAD,mid,stooq
2024-04-26,16.45,16.74,16.265,16.71,1168199,0.024524831391784296,0.024228925974379954,0.028426092160382874,ACAD,mid,stooq
2024-04-29,16.9,17.57,16.855,17.1,1887790,0.02333931777378817,0.023071120901311835,0.04181286549707601,ACAD,mid,stooq
2024-04-30,16.77,17.17,16.5,16.71,1307642,-0.02280701754385972,-0.023071120901311887,0.04009575104727718,ACAD,mid,stooq
2024-05-01,16.84,17.57,16.84,17.05,1627841,0.02034709754637931,0.02014286112222335,0.04281524926686219,ACAD,mid,stooq
2024-05-02,16.94,17.38,16.81,17.08,1611684,0.0017595307917888103,0.001757984630897962,0.03337236533957848,ACAD,mid,stooq
2024-05-03,17.44,17.5839,17.03,17.05,1160279,-0.0017564402810302804,-0.0017579846308978433,0.03248680351906151,ACAD,mid,stooq
2024-05-06,17.15,17.42,16.91,17.0,1368888,-0.0029325513196480912,-0.0029368596733097135,0.030000000000000093,ACAD,mid,stooq
2024-05-07,17.04,17.31,16.756,17.25,1919135,0.014705882352941124,0.014598799421152631,0.03211594202898542,ACAD,mid,stooq
2024-05-08,17.12,17.33,16.95,17.13,2140858,-0.006956521739130528,-0.006980831141340317,0.022183304144775193,ACAD,mid,stooq
2024-05-09,17.5,17.5,15.17,15.21,5281656,-0.11208406304728535,-0.11887820606482694,0.1531886916502301,ACAD,mid,stooq
2024-05-10,15.3,15.53,15.11,15.25,2310110,0.002629848783694877,0.0026263967822190825,0.027540983606557372,ACAD,mid,stooq
2024-05-13,15.45,15.56,15.13,15.18,1449804,-0.004590163934426239,-0.004600731085936772,0.028326745718050047,ACAD,mid,stooq
