date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,16.3,16.33,15.66,15.93,17683604,,,0.04205900816070296,HOOD,mid,stooq
2024-03-06,16.1,16.59,15.77,16.4,13102395,0.029504080351537842,0.02907721090819545,0.050000000000000024,HOOD,mid,stooq
2024-03-07,16.62,16.62,16.13,16.36,9918334,-0.0024390243902439046,-0.0024420036555517443,0.0299511002444989,HOOD,mid,stooq
2024-03-08,16.58,17.62,16.57,17.0,20002782,0.03911980440097795,0.038374012881615044,0.061764705882352985,HOOD,mid,stooq
2024-03-11,16.99,17.48,16.76,16.86,14946983,-0.008235294117647118,-0.008269391482506742,0.042704626334519505,HOOD,mid,stooq
2024-03-12,16.88,16.9,16.19,16.39,13396518,-0.02787663107947802,-0.028272559817971044,0.04331909701037201,HOOD,mid,stooq
2024-03-13,16.31,17.36,16.23,17.16,15815140,0.046979865771812124,0.04590970130407795,0.06585081585081579,HOOD,mid,stooq
2024-03-14,19.12,19.23,17.745,18.05,48665201,0.0518648018648018,0.05056459071907365,0.08227146814404429,HOOD,mid,stooq
2024-03-15,17.82,18.36,17.5,18.15,17775519,0.005540166204986097,0.005524875931969807,0.04738292011019281,HOOD,mid,stooq
2024-03-18,18.1,18.41,17.83,18.21,13180587,0.0033057851239670644,0.0033003330286569214,0.03185063152114233,HOOD,mid,stooq
2024-03-19,17.72,17.83,16.6952,17.24,14724370,-0.05326743547501389,-0.05473862850396972,0.06582366589327138,HOOD,mid,stooq
2024-03-20,17.24,18.57,17.12,18.56,14773230,0.07656612529002316,0.07377646212250744,0.07812499999999997,HOOD,mid,stooq
2024-03-21,18.66,19.415,18.4,19.09,16075878,0.028556034482758674,0.028155910379601783,0.05316919853326352,HOOD,mid,stooq
2024-03-22,18.64,18.946,18.24,18.3,11310948,-0.04138292299633306,-0.04226357789028089,0.03857923497267776,HOOD,mid,stooq
2024-03-25,18.4,19.1,18.37,19.08,15708461,0.042622950819672045,0.04173960617276513,0.038259958071278855,HOOD,mid,stooq
2024-03-26,19.32,19.6099,19.162,19.28,12760303,0.01048218029350112,0.01042762316225916,0.023231327800829905,HOOD,mid,stooq
2024-03-27,20.53,20.55,19.62,20.01,31268273,0.037863070539419175,0.03716385941324257,0.046476761619190385,HOOD,mid,stooq
2024-03-28,20.01,20.54,19.88,20.13,16728190,0.0059970014992503096,0.0059790910560580095,0.03278688524590165,HOOD,mid,stooq
2024-04-01,19.98,20.15,19.37,19.41,15674501,-0.03576751117734722,-0.03642284247078121,0.040185471406491376,HOOD,mid,stooq
2024-04-02,18.37,19.33,18.03,19.2,15975530,-0.010819165378670781,-0.010878118147183017,0.06770833333333319,HOOD,mid,stooq
2024-04-03,18.92,19.54,18.86,19.21,8633775,0.0005208333333335258,0.0005206977467296092,0.03539823008849556,HOOD,mid,stooq
2024-04-04,19.25,19.29,18.3,18.45,15445780,-0.0395627277459657,-0.040366606293929144,0.05365853658536577,HOOD,mid,stooq
2024-04-05,18.23,18.825,17.87,18.4,11636491,-0.0027100271002710175,-0.002713705871596273,0.05190217391304339,HOOD,mid,stooq
2024-04-08,18.88,19.1,18.44,18.56,9365572,0.008695652173912993,0.008658062743114531,0.035560344827586216,HOOD,mid,stooq
2024-04-09,18.66,18.75,18.0001,18.3,7937748,-0.014008620689655027,-0.014107667510679113,0.040978142076502744,HOOD,mid,stooq
2024-04-10,17.68,18.44,17.59,18.34,7749112,0.002185792349726823,0.0021834069809435813,0.04634678298800444,HOOD,mid,stooq
2024-04-11,17.7,19.0489,17.7,19.0,14077494,0.03598691384950925,0.03535451233812165,0.07099473684210529,HOOD,mid,stooq
2024-04-12,18.85,18.89,17.83,17.97,9613234,-0.05421052631578949,-0.0557352783709728,0.05898720089037297,HOOD,mid,stooq
2024-04-15,18.08,18.26,16.975,17.19,14132346,-0.04340567612687796,-0.0443758814007096,0.07475276323443864,HOOD,mid,stooq
2024-04-16,17.13,17.58,16.84,17.31,9347686,0.00698080279232105,0.006956549793359931,0.04274985557481216,HOOD,mid,stooq
2024-04-17,17.38,17.45,16.46,17.08,10395438,-0.013287117273252491,-0.013376180827694116,0.057962529274004596,HOOD,mid,stooq
2024-04-18,17.187,17.595,16.89,17.08,7952306,0.0,0.0,0.041276346604215364,HOOD,mid,stooq
2024-04-19,16.89,17.23,16.5001,16.64,9524852,-0.025761124121779777,-0.026098752967361187,0.043864182692307734,HOOD,mid,stooq
2024-04-22,16.94,17.345,16.67,17.19,7426209,0.03305288461538458,0.03251838400169532,0.039267015706806116,HOOD,mid,stooq
2024-04-23,17.13,17.82,17.05,17.62,6961280,0.025014543339150652,0.024706801113275546,0.04370034052213391,HOOD,mid,stooq
2024-04-24,17.67,17.89,17.08,17.31,7318081,-0.01759364358683324,-0.017750251319915665,0.046793760831889214,HOOD,mid,stooq
2024-04-25,16.89,17.26,16.57,17.12,7145629,-0.01097631426920842,-0.011036998474521711,0.04030373831775708,HOOD,mid,stooq
2024-04-26,17.12,17.9,16.92,17.88,8203870,0.04439252336448596,0.043435399031772015,0.054809843400447256,HOOD,mid,stooq
2024-04-29,17.71,18.29,17.3,17.34,8431531,-0.030201342281879096,-0.030666798392972188,0.05709342560553624,HOOD,mid,stooq
2024-04-30,17.14,17.3,16.47,16.49,8986252,-0.0490196078431373,-0.05026183478088831,0.05033353547604621,HOOD,mid,stooq
2024-05-01,16.43,17.35,16.31,16.65,8903479,0.009702850212249814,0.009656079854945265,0.06246246246246263,HOOD,mid,stooq
2024-05-02,16.93,17.63,16.76,17.61,7544744,0.057657657657657735,0.05605670608166201,0.04940374787052797,HOOD,mid,stooq
2024-05-03,17.88,18.135,17.63,17.95,9478765,0.01930721181147077,0.019123192426173122,0.02813370473537619,HOOD,mid,stooq
2024-05-06,17.63,18.46,17.48,17.78,18716931,-0.009470752089136392,-0.009515884848529261,0.05511811023622049,HOOD,mid,stooq
2024-05-07,17.75,18.26,17.67,17.99,12486155,0.011811023622047001,0.011741817876682976,0.03279599777654252,HOOD,mid,stooq
2024-05-08,17.6,17.9378,17.37,17.85,23043846,-0.007782101167315036,-0.007812539736793512,0.03180952380952371,HOOD,mid,stooq
2024-05-09,19.042,19.47,17.04,17.3,51207410,-0.03081232492997199,-0.03129700672191482,0.14046242774566473,HOOD,mid,stooq
2024-05-10,17.42,17.69,16.22,16.23,24466185,-0.06184971098265901,-0.06384511997723347,0.090573012939002,HOOD,mid,stooq
2024-05-13,16.62,17.61,16.57,16.89,24385630,0.04066543438077641,0.039860349293208926,0.061574896388395445,HOOD,mid,stooq
2024-05-14,17.77,18.67,17.65,18.02,33654517,0.06690349319123734,0.06476052136048308,0.056603773584905835,HOOD,mid,stooq
2024-05-15,18.35,18.5799,17.57,18.52,19468518,0.027746947835738167,0.027368977037841566,0.05453023758099343,HOOD,mid,stooq
2024-05-16,18.41,19.24,17.86,17.9,22141594,-0.03347732181425489,-0.034050516371324044,0.07709497206703905,HOOD,mid,stooq
2024-05-17,18.96,20.34,18.45,20.09,53207439,0.12234636871508386,0.1154214659801338,0.09407665505226484,HOOD,mid,stooq
2024-05-20,19.94,20.89,19.53,20.84,25792939,0.03733200597312103,0.03665203805832319,0.06525911708253357,HOOD,mid,stooq
2024-05-21,21.04,21.21,20.41,20.96,20960675,0.0057581573896352545,0.005741642567675183,0.038167938931297746,HOOD,mid,stooq
2024-05-22,20.9,21.03,19.59,19.66,20978609,-0.06202290076335881,-0.06402974473382096,0.07324516785350974,HOOD,mid,stooq
2024-05-23,19.92,19.94,19.115,19.24,17758087,-0.021363173957273718,-0.02159466948146013,0.04287941787941803,HOOD,mid,stooq
2024-05-24,19.3,20.565,19.0666,20.51,20914822,0.06600831600831625,0.06392112684672904,0.07305704534373476,HOOD,mid,stooq
2024-05-28,20.618,20.99,20.05,20.47,18147581,-0.0019502681618723816,-0.0019521724110912063,0.045920859794821585,HOOD,mid,stooq
2024-05-29,20.75,21.14,20.27,21.085,23053058,0.030043966780654685,0.029601487525325088,0.041261560350960444,HOOD,mid,stooq
2024-05-30,21.3,22.26,20.91,21.84,36228882,0.0358074460516955,0.03518126367818109,0.06181318681318688,HOOD,mid,stooq
2024-05-31,21.91,22.34,20.165,20.9,31219334,-0.04304029304029311,-0.04399399190593904,0.10406698564593306,HOOD,mid,stooq
2024-06-03,21.9,22.4,20.73,21.28,26098129,0.0181818181818183,0.01801850550267843,0.07847744360902247,HOOD,mid,stooq
2024-06-04,21.04,21.625,20.66,20.78,17412353,-0.023496240601503793,-0.023776678802362335,0.04643888354186717,HOOD,mid,stooq
2024-06-05,21.0,21.59,20.39,21.57,14410376,0.03801732435033678,0.0373124747299836,0.05563282336578578,HOOD,mid,stooq
2024-06-06,22.25,23.25,21.744,22.97,40881175,0.06490496059341666,0.06288555629994176,0.0655637788419678,HOOD,mid,stooq
2024-06-07,22.52,23.69,22.145,22.18,24723105,-0.03439268611232038,-0.034998034778785866,0.06965734896302983,HOOD,mid,stooq
2024-06-10,22.1,23.525,22.06,23.42,17959474,0.055906221821460766,0.0543993762473503,0.06255337318531169,HOOD,mid,stooq
