date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,16.22,16.58,16.04,16.3,544558,,,0.03312883435582817,NVCR,mid,stooq
2024-03-06,16.37,16.75,16.35,16.65,530964,0.021472392638036686,0.02124510861373606,0.02402402402402394,NVCR,mid,stooq
2024-03-07,16.75,17.4,16.65,17.29,894523,0.038438438438438416,0.037718083268746275,0.04337767495662233,NVCR,mid,stooq
2024-03-08,17.44,18.04,16.52,16.54,1042571,-0.04337767495662237,-0.044346610099653926,0.09189842805320433,NVCR,mid,stooq
2024-03-11,16.72,16.89,15.87,15.99,1132349,-0.03325272067714624,-0.03381816274968232,0.06378986866791753,NVCR,mid,stooq
2024-03-12,15.9,15.9,14.93,15.29,1065759,-0.04377736085053163,-0.04476450690489198,0.06344015696533686,NVCR,mid,stooq
2024-03-13,15.24,15.74,14.745,14.82,764810,-0.030739045127534226,-0.03122140007302999,0.06713900134952773,NVCR,mid,stooq
2024-03-14,14.84,14.94,14.45,14.61,832759,-0.014170040485830038,-0.014271394105332794,0.033538672142368255,NVCR,mid,stooq
2024-03-15,14.48,14.655,13.9102,13.98,1261469,-0.04312114989733051,-0.04407848895694383,0.05327610872675248,NVCR,mid,stooq
2024-03-18,14.05,14.315,13.81,13.82,1092791,-0.011444921316165924,-0.011510918466140331,0.036541244573082415,NVCR,mid,stooq
2024-03-19,13.84,13.97,13.46,13.54,1083841,-0.02026049204052105,-0.020468550855394972,0.03766617429837517,NVCR,mid,stooq
2024-03-20,13.4,13.85,13.26,13.63,988698,0.006646971935007517,0.006624978224312442,0.04328686720469551,NVCR,mid,stooq
2024-03-21,13.77,14.04,13.55,13.95,1052348,0.023477622890682115,0.02320626255893319,0.03512544802867373,NVCR,mid,stooq
2024-03-22,13.74,13.95,13.08,13.21,953527,-0.053046594982078754,-0.05450538973314058,0.06585919757759266,NVCR,mid,stooq
2024-03-25,13.19,13.61,12.8883,13.2,1375734,-0.0007570022710069457,-0.0007572889419089133,0.054674242424242445,NVCR,mid,stooq
2024-03-26,13.43,13.5699,13.04,13.07,1093581,-0.009848484848484773,-0.009897301956194515,0.040543228768171485,NVCR,mid,stooq
2024-03-27,14.78,15.54,12.92,14.64,11939190,0.12012241775057375,0.11343798089703484,0.17896174863387973,NVCR,mid,stooq
2024-03-28,14.55,16.05,14.38,15.63,2811987,0.06762295081967218,0.06543463590021978,0.10684580934101087,NVCR,mid,stooq
2024-04-01,15.63,15.63,14.98,15.49,1673857,-0.00895713371721052,-0.008997490004608005,0.041962556488056836,NVCR,mid,stooq
2024-04-02,15.12,15.15,14.07,14.39,1388858,-0.07101355713363455,-0.07366113352950077,0.07505211952744963,NVCR,mid,stooq
2024-04-03,14.08,14.79,14.0,14.42,1365359,0.0020847810979847115,0.0020826109575265684,0.05478502080443822,NVCR,mid,stooq
2024-04-04,14.6,14.785,14.22,14.29,1173634,-0.009015256588072229,-0.009056139915027087,0.03953813855843244,NVCR,mid,stooq
2024-04-05,14.06,14.24,13.62,13.74,1389954,-0.03848845346396079,-0.039248705147572734,0.04512372634643384,NVCR,mid,stooq
2024-04-08,13.8,14.21,13.62,14.18,1130832,0.03202328966521106,0.03152123430977816,0.04160789844851916,NVCR,mid,stooq
2024-04-09,14.2,15.4622,14.18,14.88,969689,0.04936530324400579,0.048185508300964505,0.08616935483870965,NVCR,mid,stooq
2024-04-10,14.48,14.74,14.1101,14.62,1028159,-0.017473118279569988,-0.01762757508331346,0.0430848153214775,NVCR,mid,stooq
2024-04-11,14.9,15.0,14.025,14.12,831697,-0.034199726402188824,-0.03479822225653647,0.06905099150141641,NVCR,mid,stooq
2024-04-12,14.01,14.12,13.4,13.57,901798,-0.038951841359773254,-0.039730758218318125,0.053058216654384587,NVCR,mid,stooq
2024-04-15,13.6,13.72,12.63,12.72,1168309,-0.06263817243920411,-0.06468591593480166,0.08569182389937105,NVCR,mid,stooq
2024-04-16,12.56,12.71,12.2,12.46,923876,-0.020440251572326984,-0.02065204455266894,0.04093097913322645,NVCR,mid,stooq
2024-04-17,12.4,12.45,12.04,12.05,1361232,-0.0329052969502408,-0.03345885342264312,0.03402489626556018,NVCR,mid,stooq
2024-04-18,12.05,12.445,11.89,12.05,1392284,0.0,0.0,0.04605809128630703,NVCR,mid,stooq
2024-04-19,11.89,12.31,11.89,12.09,850396,0.003319502074688785,0.0033140046900372914,0.0347394540942928,NVCR,mid,stooq
2024-04-22,12.19,12.19,11.7,11.83,809482,-0.021505376344086002,-0.021739986636405875,0.041420118343195284,NVCR,mid,stooq
2024-04-23,11.7,12.46,11.7,12.055,839660,0.01901944209636519,0.01884083364283898,0.06304437992534231,NVCR,mid,stooq
2024-04-24,12.09,12.39,12.02,12.34,1317018,0.0236416424720034,0.023366506844107463,0.029983792544570582,NVCR,mid,stooq
2024-04-25,12.36,12.37,11.88,12.23,1152169,-0.008914100486223653,-0.008954068778160759,0.040065412919051385,NVCR,mid,stooq
2024-04-26,12.15,12.65,12.01,12.635,762109,0.03311529026982818,0.03257879114107645,0.050652948159873416,NVCR,mid,stooq
2024-04-29,12.81,13.02,12.69,12.8,1074027,0.013058963197467355,0.012974430085413937,0.025781250000000006,NVCR,mid,stooq
2024-04-30,12.52,12.66,12.21,12.24,1080688,-0.04375000000000007,-0.04473589384139153,0.03676470588235288,NVCR,mid,stooq
2024-05-01,12.24,13.26,12.24,12.74,1289533,0.040849673202614456,0.04003737305983734,0.0800627943485086,NVCR,mid,stooq
2024-05-02,13.39,14.21,12.17,14.19,1575580,0.11381475667189944,0.10779084102793393,0.14376321353065546,NVCR,mid,stooq
2024-05-03,14.65,15.42,14.31,14.78,1145704,0.041578576462297345,0.04073742434810438,0.0751014884979702,NVCR,mid,stooq
2024-05-06,14.94,15.75,14.85,15.55,1285557,0.052097428958051584,0.05078572310518758,0.05787781350482317,NVCR,mid,stooq
2024-05-07,15.64,16.245,15.31,15.53,904588,-0.0012861736334406348,-0.0012870014646475599,0.0602060528010303,NVCR,mid,stooq
2024-05-08,15.21,16.09,15.12,16.03,1002438,0.032195750160978864,0.03168832946086599,0.06051154086088587,NVCR,mid,stooq
2024-05-09,16.21,16.39,15.72,16.13,1139699,0.00623830318153451,0.006218925515655796,0.041537507749535026,NVCR,mid,stooq
2024-05-10,16.22,16.6,16.02,16.47,821779,0.021078735275883442,0.020859652052431458,0.035215543412264835,NVCR,mid,stooq
2024-05-13,16.7,18.0099,16.5,17.98,1514092,0.09168184578020644,0.08771948485392526,0.08397664071190201,NVCR,mid,stooq
2024-05-14,18.19,20.53,18.19,20.32,2752228,0.13014460511679649,0.12234559366680697,0.11515748031496062,NVCR,mid,stooq
2024-05-15,20.4,21.65,19.865,21.05,2170581,0.03592519685039375,0.03529493741810933,0.08479809976247031,NVCR,mid,stooq
2024-05-16,21.08,22.29,20.69,22.17,1633139,0.05320665083135401,0.051839463499829756,0.07216959855660793,NVCR,mid,stooq
2024-05-17,22.17,22.31,21.4635,21.99,1150859,-0.008119079837618504,-0.008152219061550383,0.038494770350159115,NVCR,mid,stooq
2024-05-20,22.02,24.735,21.98,24.05,2358508,0.09367894497498863,0.08954719198510037,0.1145530145530145,NVCR,mid,stooq
2024-05-21,23.41,24.03,22.29,22.75,2028086,-0.05405405405405406,-0.055569851154810765,0.07648351648351658,NVCR,mid,stooq
2024-05-22,22.6,23.87,22.6,23.7,1426107,0.04175824175824183,0.04090990274412615,0.05358649789029534,NVCR,mid,stooq
2024-05-23,23.49,23.49,22.08,22.31,1385287,-0.05864978902953588,-0.060440039696644375,0.06320035858359481,NVCR,mid,stooq
2024-05-24,22.56,23.67,22.56,23.15,816024,0.0376512774540565,0.036959772087801955,0.04794816414686838,NVCR,mid,stooq
2024-05-28,23.24,23.52,21.6403,22.32,1537470,-0.03585313174945992,-0.03651164301913277,0.08421594982078852,NVCR,mid,stooq
2024-05-29,21.61,22.28,21.45,22.01,1590411,-0.01388888888888884,-0.01398624197473984,0.037710131758291764,NVCR,mid,stooq
2024-05-30,22.45,22.665,22.02,22.27,1206916,0.01181281235801901,0.011743585730905885,0.028962730130220007,NVCR,mid,stooq
2024-05-31,22.64,23.19,21.9,22.01,1483720,-0.011674898967220404,-0.011743585730905884,0.05860972285324864,NVCR,mid,stooq
2024-06-03,22.77,24.04,22.42,23.89,1507683,0.08541572012721477,0.08196306579934774,0.06781079949769768,NVCR,mid,stooq
2024-06-04,24.29,24.4,22.49,22.82,1150047,-0.04478861448304727,-0.045822616903788554,0.08369851007887819,NVCR,mid,stooq
2024-06-05,22.97,23.51,22.6101,23.13,762100,0.013584574934268234,0.013493131809418281,0.038906182447038584,NVCR,mid,stooq
2024-06-06,22.82,22.991,21.96,22.15,1045657,-0.0423692174664938,-0.043292979752203246,0.04654627539503381,NVCR,mid,stooq
2024-06-07,21.56,21.8022,21.2,21.5,1193416,-0.02934537246049651,-0.029784561357527425,0.028009302325581388,NVCR,mid,stooq
2024-06-10,21.28,21.915,21.2601,21.46,699525,-0.0018604651162790198,-0.001862197931064651,0.030517241379310243,NVCR,mid,stooq
2024-06-11,21.2,21.61,20.9,21.41,948895,-0.002329916123019582,-0.002332634600960995,0.033162073797291025,NVCR,mid,stooq
2024-06-12,22.25,22.44,20.97,21.25,945440,-0.007473143390938852,-0.007501207231165631,0.06917647058823541,NVCR,mid,stooq
2024-06-13,21.28,21.865,21.02,21.52,1098841,0.012705882352941122,0.012625839923157777,0.03926579925650552,NVCR,mid,stooq
