date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,108.33,108.45,104.18,106.99,2585496,,,0.039910271988036226,OKTA,mid,stooq
2024-03-06,109.66,111.14,106.87,108.9,2737455,0.0178521357136181,0.017694657788399612,0.03921028466483008,OKTA,mid,stooq
2024-03-07,109.83,112.451,108.635,111.49,3501036,0.023783287419650856,0.02350487084056513,0.03422728495829212,OKTA,mid,stooq
2024-03-08,112.5,114.5,110.145,110.3,1864633,-0.01067360301372322,-0.010730974520023343,0.03948322756119677,OKTA,mid,stooq
2024-03-11,109.0,110.0,107.09,108.31,1976832,-0.018041704442429696,-0.01820644041181098,0.026867325270058133,OKTA,mid,stooq
2024-03-12,108.44,108.9238,106.85,107.72,1456692,-0.005447327116609779,-0.005462217904247654,0.019251763832157497,OKTA,mid,stooq
2024-03-13,107.1,110.13,106.75,109.66,1393889,0.01800965466023019,0.017849402032504208,0.030822542403793503,OKTA,mid,stooq
2024-03-14,109.59,109.8026,105.86,107.7,1552657,-0.01787342695604588,-0.01803508581355944,0.036607242339832854,OKTA,mid,stooq
2024-03-15,107.0,107.5899,105.45,106.1,2938916,-0.014856081708449431,-0.014967538542405465,0.020168708765315714,OKTA,mid,stooq
2024-03-18,106.27,106.89,104.78,105.88,1633105,-0.0020735155513665893,-0.0020756682610368854,0.019928220627125043,OKTA,mid,stooq
2024-03-19,104.14,105.77,103.61,105.36,1120463,-0.004911220249338877,-0.004923319923874921,0.020501138952163978,OKTA,mid,stooq
2024-03-20,105.83,106.28,104.73,105.5,1317345,0.0013287775246773048,0.0013278954810955926,0.014691943127962058,OKTA,mid,stooq
2024-03-21,107.07,107.3005,104.74,104.76,1070206,-0.007014218009478657,-0.007038933276610023,0.02444158075601379,OKTA,mid,stooq
2024-03-22,104.61,106.51,103.65,106.13,1448550,0.013077510500190792,0.012992738134219856,0.026948082540280784,OKTA,mid,stooq
2024-03-25,105.62,105.98,104.6,105.65,885472,-0.004522755111655452,-0.0045330137116653514,0.01306199716043549,OKTA,mid,stooq
2024-03-26,106.33,108.5479,104.12,104.43,1505066,-0.011547562707051595,-0.011614753570608491,0.042400651153882925,OKTA,mid,stooq
2024-03-27,105.44,105.69,103.14,104.92,1412907,0.004692138274442259,0.0046811645072157475,0.024304231795653802,OKTA,mid,stooq
2024-03-28,104.8,105.95,104.25,104.62,1000199,-0.0028593213877239343,-0.002863417056207866,0.016249283119862387,OKTA,mid,stooq
2024-04-01,104.66,105.01,102.92,103.49,1126980,-0.010800994073790982,-0.010859748262383461,0.020195187940863887,OKTA,mid,stooq
2024-04-02,102.49,102.77,100.79,102.64,1313325,-0.008213353947241209,-0.008247269372700611,0.019290724863600835,OKTA,mid,stooq
2024-04-03,102.78,102.86,101.25,102.16,1028269,-0.004676539360872978,-0.004687508583097161,0.015759592795614716,OKTA,mid,stooq
2024-04-04,102.21,102.65,99.36,99.42,1993500,-0.02682067345340633,-0.027186911057757213,0.03309193321263334,OKTA,mid,stooq
2024-04-05,99.85,101.76,99.0,101.5,1255341,0.02092134379400523,0.020705497815315478,0.027192118226601034,OKTA,mid,stooq
2024-04-08,101.295,101.69,100.15,101.01,634963,-0.004827586206896495,-0.004839276640749157,0.015246015246015166,OKTA,mid,stooq
2024-04-09,101.0,101.94,100.445,101.23,674142,0.0021780021780022363,0.002175633769567588,0.014768349303566181,OKTA,mid,stooq
2024-04-10,98.62,100.47,98.62,99.45,951401,-0.017583720241035272,-0.01774015031067914,0.01860231271995972,OKTA,mid,stooq
2024-04-11,100.0,101.25,99.35,100.8,965115,0.013574660633484115,0.013483350337286988,0.018849206349206407,OKTA,mid,stooq
2024-04-12,100.76,100.76,97.777,98.26,1552291,-0.02519841269841261,-0.025521328896765966,0.030358233258701444,OKTA,mid,stooq
2024-04-15,98.0,98.0,94.19,94.23,1725864,-0.041013637288825566,-0.041878424521837314,0.04043298312639289,OKTA,mid,stooq
2024-04-16,94.29,95.5,93.34,95.01,1098125,0.008277618592804847,0.008243546999993258,0.022734449005367818,OKTA,mid,stooq
2024-04-17,95.3,95.92,93.76,93.8,990189,-0.012735501526155213,-0.012817293206479202,0.023027718550106574,OKTA,mid,stooq
2024-04-18,93.8,95.84,93.1,93.71,800962,-0.0009594882729211385,-0.0009599488764467657,0.029239142033934577,OKTA,mid,stooq
2024-04-19,93.27,94.255,91.2601,92.03,1104067,-0.017927649130295542,-0.018090296284966684,0.03254264913615127,OKTA,mid,stooq
2024-04-22,92.31,93.92,91.69,93.24,1025575,0.01314788655873067,0.013062203316790689,0.02391677391677396,OKTA,mid,stooq
2024-04-23,93.62,95.49,93.33,94.37,806312,0.012119262119262286,0.012046411865685436,0.022888629861184662,OKTA,mid,stooq
2024-04-24,95.2,96.25,93.2,93.76,1302481,-0.006463918618204945,-0.0064849002045391764,0.03252986348122864,OKTA,mid,stooq
2024-04-25,91.54,93.395,90.67,92.93,854659,-0.00885238907849828,-0.008891804259454524,0.02932314645432039,OKTA,mid,stooq
2024-04-26,93.67,94.3,92.09,92.29,793448,-0.0068869041213817095,-0.006910728291762618,0.023946256365803376,OKTA,mid,stooq
2024-04-29,93.31,94.4,92.56,93.16,975810,0.009426806804637478,0.009382651738654817,0.01975096607986264,OKTA,mid,stooq
