date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,191.97,193.395,185.81,187.83,288119,,,0.040382260554757,ONTO,mid,stooq
2024-03-06,190.76,193.0999,187.74,190.3,363773,0.013150189000692203,0.01306447587677513,0.028165528113504895,ONTO,mid,stooq
2024-03-07,192.0,198.97,190.51,196.61,269793,0.03315817130846033,0.03262029681729566,0.04302934743909266,ONTO,mid,stooq
2024-03-08,196.5,199.17,185.13,185.19,358868,-0.05808453283149395,-0.05983974604548539,0.07581402883525024,ONTO,mid,stooq
2024-03-11,182.62,182.62,174.205,180.49,441681,-0.02537934013715637,-0.02570695049775716,0.04662308161116955,ONTO,mid,stooq
2024-03-12,181.13,182.945,178.17,182.86,342586,0.013130921380685834,0.013045458160123443,0.02611287323635571,ONTO,mid,stooq
2024-03-13,180.75,183.22,175.54,177.03,330299,-0.03188231433883848,-0.032401622999093445,0.043382477546178654,ONTO,mid,stooq
2024-03-14,176.15,178.28,173.4,175.01,416747,-0.0114104953962606,-0.01147609458912112,0.027884120907376696,ONTO,mid,stooq
2024-03-15,173.96,178.2999,172.84,175.43,847106,0.0023998628649792852,0.0023969877930274637,0.03112295502479624,ONTO,mid,stooq
2024-03-18,177.76,180.6197,173.46,175.74,418601,0.0017670865872427832,0.0017655271266037522,0.040740298167747734,ONTO,mid,stooq
2024-03-19,173.2,176.42,170.05,175.65,315712,-0.0005121201775349915,-0.0005122513558610676,0.03626530031312255,ONTO,mid,stooq
2024-03-20,176.02,178.66,172.2,178.48,309882,0.016111585539424933,0.015983171412440975,0.03619453160017934,ONTO,mid,stooq
2024-03-21,184.67,187.5,182.89,183.01,363841,0.025380995069475665,0.025064246032913955,0.02518988033440803,ONTO,mid,stooq
2024-03-22,181.39,184.7,179.68,183.44,251509,0.0023495983826020694,0.0023468423924580895,0.027365896205843773,ONTO,mid,stooq
2024-03-25,182.1,186.9,182.1,184.4,335337,0.005233318796336706,0.005219672572844481,0.026030368763557545,ONTO,mid,stooq
2024-03-26,184.99,186.0,180.3,180.48,258501,-0.021258134490238723,-0.02148734281279949,0.03158244680851058,ONTO,mid,stooq
2024-03-27,181.59,181.59,176.03,180.49,254254,5.540780141854995e-05,5.540626646301968e-05,0.03080503074962603,ONTO,mid,stooq
2024-03-28,178.45,182.76,178.0,181.08,373860,0.00326887916228058,0.0032635479916009757,0.02628672409984532,ONTO,mid,stooq
2024-04-01,181.21,187.0,180.39,185.3,301641,0.023304616743980544,0.02303721072355624,0.03567188343227206,ONTO,mid,stooq
2024-04-02,182.22,185.46,180.24,184.97,441478,-0.0017808958445764134,-0.0017824835248565181,0.028220792560955825,ONTO,mid,stooq
2024-04-03,179.78,189.93,179.22,189.72,385353,0.02567983997404988,0.025355651242923362,0.056451612903225847,ONTO,mid,stooq
2024-04-04,193.11,193.55,183.51,184.63,597501,-0.026829011174362205,-0.027195478601729203,0.054379028326924234,ONTO,mid,stooq
2024-04-05,185.58,190.28,184.62,188.59,320570,0.02144830200942427,0.02122152411662205,0.030012195768598527,ONTO,mid,stooq
2024-04-08,190.31,192.37,188.455,189.88,262315,0.006840235431359032,0.00681694715884351,0.020618285232778557,ONTO,mid,stooq
2024-04-09,192.37,192.37,185.21,187.8,349981,-0.010954286918053446,-0.011014726908954693,0.03812566560170392,ONTO,mid,stooq
