date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,26.5,27.285,26.2501,27.26,3472395,,,0.037964049889948656,PRGO,mid,stooq
2024-03-06,27.22,28.155,26.98,28.09,4022980,0.030447542186353482,0.0299932148477656,0.0418298326806693,PRGO,mid,stooq
2024-03-07,27.85,29.97,27.79,29.69,4493722,0.056959772160911415,0.05539664765951619,0.07342539575614684,PRGO,mid,stooq
2024-03-08,29.98,30.93,29.86,30.25,2861153,0.01886156955203777,0.018685895701182082,0.03537190082644629,PRGO,mid,stooq
2024-03-11,30.25,30.97,30.16,30.59,2728228,0.011239669421487575,0.011176973685961591,0.02647924158221637,PRGO,mid,stooq
2024-03-12,30.55,31.06,30.24,30.55,2209276,-0.0013076168682575329,-0.0013084725452076906,0.026841243862520466,PRGO,mid,stooq
2024-03-13,30.64,31.455,30.55,31.02,2102546,0.01538461538461533,0.01526747213078838,0.029174725983236543,PRGO,mid,stooq
2024-03-14,30.95,31.01,30.25,30.87,1731064,-0.004835589941972862,-0.004847319234324775,0.02461937155814712,PRGO,mid,stooq
2024-03-15,30.68,30.86,29.65,30.37,4215109,-0.016196954972465205,-0.01632955945641056,0.03984194929206456,PRGO,mid,stooq
2024-03-18,30.47,30.51,29.97,30.01,1255553,-0.01185380309515971,-0.011924619605381666,0.017994001999333646,PRGO,mid,stooq
2024-03-19,30.0,30.57,29.87,30.24,1263600,0.007664111962679021,0.007634891859056417,0.023148148148148126,PRGO,mid,stooq
2024-03-20,30.25,31.31,30.18,31.3,1395498,0.035052910052910224,0.03445254623477545,0.036102236421725206,PRGO,mid,stooq
2024-03-21,31.3,31.8,31.16,31.58,1757645,0.008945686900958316,0.00890591128138835,0.020265991133628897,PRGO,mid,stooq
2024-03-22,31.69,32.005,31.3,31.32,1648571,-0.008233058898036716,-0.008267137704893663,0.02250957854406136,PRGO,mid,stooq
2024-03-25,31.43,31.54,30.93,31.01,1480333,-0.009897828863346114,-0.009947138010244787,0.019671073847146062,PRGO,mid,stooq
2024-03-26,31.16,31.16,30.71,30.8,1256077,-0.006772009029345383,-0.0067950431328288015,0.014610389610389588,PRGO,mid,stooq
2024-03-27,31.06,31.52,30.86,31.46,1263732,0.021428571428571352,0.021202207650602906,0.020979020979020983,PRGO,mid,stooq
2024-03-28,31.48,32.35,31.48,32.19,1583458,0.023204068658613908,0.02293894768058483,0.02702702702702706,PRGO,mid,stooq
2024-04-01,32.22,32.32,31.92,32.11,945974,-0.0024852438645541763,-0.0024883372092941976,0.012457178449081239,PRGO,mid,stooq
2024-04-02,31.76,31.8,31.21,31.32,1105566,-0.024602927436935484,-0.02491063697882016,0.018837803320561935,PRGO,mid,stooq
2024-04-03,31.23,31.65,31.01,31.03,1457756,-0.00925925925925919,-0.009302392662313448,0.020625201417982502,PRGO,mid,stooq
2024-04-04,31.0,32.46,30.88,31.45,2001355,0.013535288430551073,0.013444504686160692,0.050238473767885594,PRGO,mid,stooq
2024-04-05,31.38,31.63,31.11,31.4,870417,-0.0015898251192368873,-0.0015910902322418517,0.016560509554140113,PRGO,mid,stooq
2024-04-08,31.7,32.07,31.49,31.75,1330757,0.011146496815286566,0.011084832424492914,0.018267716535433128,PRGO,mid,stooq
2024-04-09,31.8,32.315,31.75,32.22,1191011,0.014803149606299248,0.014694652410127702,0.017535692116697633,PRGO,mid,stooq
2024-04-10,31.68,31.73,31.41,31.54,942593,-0.02110490378646801,-0.021330796213935972,0.01014584654407103,PRGO,mid,stooq
2024-04-11,31.78,31.95,31.12,31.28,811823,-0.008243500317057673,-0.008277665857781962,0.026534526854219892,PRGO,mid,stooq
2024-04-12,31.24,31.24,30.26,30.32,1301035,-0.03069053708439895,-0.031171354902939395,0.03232189973614765,PRGO,mid,stooq
2024-04-15,30.47,30.78,29.79,30.13,1663149,-0.006266490765171495,-0.006286207631961032,0.03285761699303027,PRGO,mid,stooq
2024-04-16,29.98,30.33,29.855,29.96,1450950,-0.005642217059409149,-0.00565819449319106,0.015854472630173495,PRGO,mid,stooq
2024-04-17,30.1,30.2,29.91,30.04,777079,0.002670226969292422,0.0026666682469152977,0.009653794940079865,PRGO,mid,stooq
2024-04-18,29.99,30.115,29.828,29.94,971548,-0.0033288948069239988,-0.0033344479044515943,0.009585838343353342,PRGO,mid,stooq
2024-04-19,29.92,30.82,29.8208,30.8,980670,0.02872411489645965,0.02831931098804655,0.0324415584415585,PRGO,mid,stooq
2024-04-22,30.91,31.05,30.02,30.06,1415881,-0.02402597402597406,-0.02431930565470039,0.03426480372588161,PRGO,mid,stooq
2024-04-23,30.1,30.67,30.01,30.49,1113011,0.014304723885562254,0.014203376675335026,0.02164644145621516,PRGO,mid,stooq
2024-04-24,30.48,31.285,30.24,31.23,963661,0.024270252541817028,0.023980410294823833,0.033461415305795765,PRGO,mid,stooq
2024-04-25,31.1,32.115,30.79,31.27,1084163,0.001280819724623683,0.0012800001747626335,0.04237288135593229,PRGO,mid,stooq
2024-04-26,31.23,32.29,31.13,31.94,946309,0.021426287176207204,0.021199971317116435,0.036318096430807766,PRGO,mid,stooq
2024-04-29,32.03,32.82,32.03,32.81,868965,0.027238572323105892,0.026874204186143957,0.024078024992380345,PRGO,mid,stooq
2024-04-30,32.79,32.86,32.51,32.66,1066434,-0.004571776897287605,-0.004582259430691404,0.010716472749540767,PRGO,mid,stooq
2024-05-01,32.52,33.175,32.52,32.9,2413977,0.007348438456828088,0.007321570229007317,0.019908814589665473,PRGO,mid,stooq
2024-05-02,33.11,33.35,32.76,33.06,919539,0.004863221884498614,0.004851434621552045,0.01784633998790089,PRGO,mid,stooq
2024-05-03,33.34,33.345,32.555,32.79,981835,-0.008166969147005543,-0.008200501536321335,0.024092711192436694,PRGO,mid,stooq
2024-05-06,32.98,33.455,32.87,33.43,1730332,0.019518145776151297,0.019330109575450387,0.017499252168710764,PRGO,mid,stooq
2024-05-07,32.24,33.35,30.08,30.15,3898066,-0.09811546515106195,-0.10326877725881282,0.10845771144278618,PRGO,mid,stooq
2024-05-08,30.3,31.555,30.26,31.11,1711065,0.03184079601990053,0.03134438773635124,0.041626486660237806,PRGO,mid,stooq
2024-05-09,31.04,31.29,30.59,31.02,1093712,-0.002892960462873684,-0.0028971531611528983,0.022566086395873607,PRGO,mid,stooq
