date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,8.07,8.2,7.26,7.27,187827902,,,0.12929848693259965,SOFI,mid,stooq
2024-03-06,7.37,7.62,7.05,7.4,131025346,0.017881705639614998,0.017723708664696212,0.07702702702702706,SOFI,mid,stooq
2024-03-07,7.5,7.5791,7.18,7.47,83323436,0.009459459459459474,0.009414998934601883,0.053427041499330745,SOFI,mid,stooq
2024-03-08,7.52,7.83,7.47,7.71,76914761,0.032128514056224855,0.03162318843051214,0.04669260700389109,SOFI,mid,stooq
2024-03-11,7.805,7.95,7.61,7.68,59023016,-0.0038910505836575737,-0.003898640415657309,0.044270833333333315,SOFI,mid,stooq
2024-03-12,7.68,7.69,7.38,7.48,49576482,-0.02604166666666663,-0.026386755173194887,0.04144385026737974,SOFI,mid,stooq
2024-03-13,7.43,7.56,7.36,7.38,42118295,-0.013368983957219305,-0.0134591533740048,0.02710027100270993,SOFI,mid,stooq
2024-03-14,7.33,7.3499,6.99,7.05,69575137,-0.04471544715447151,-0.045746021788203806,0.051049645390070876,SOFI,mid,stooq
2024-03-15,7.03,7.05,6.91,7.03,52914277,-0.0028368794326240065,-0.002840911001603641,0.019914651493598817,SOFI,mid,stooq
2024-03-18,7.065,7.11,6.86,7.08,47168391,0.007112375533428139,0.007087201883054831,0.03531073446327684,SOFI,mid,stooq
2024-03-19,6.92,7.03,6.815,6.92,50478953,-0.02259887005649719,-0.022858138076050208,0.031069364161849692,SOFI,mid,stooq
2024-03-20,6.925,7.37,6.87,7.36,61455098,0.06358381502890187,0.061644163111206796,0.06793478260869565,SOFI,mid,stooq
2024-03-21,7.55,7.57,7.36,7.44,56091852,0.010869565217391353,0.010810916104215676,0.028225806451612896,SOFI,mid,stooq
2024-03-22,7.32,7.4085,7.24,7.3,23292610,-0.018817204301075363,-0.018996500690655147,0.023082191780821902,SOFI,mid,stooq
2024-03-25,7.28,7.5965,7.25,7.45,27430934,0.020547945205479534,0.020339684237122783,0.04651006711409393,SOFI,mid,stooq
2024-03-26,7.35,7.46,7.165,7.2,39576569,-0.03355704697986572,-0.03413300636945847,0.04097222222222221,SOFI,mid,stooq
2024-03-27,7.28,7.37,7.17,7.36,34738786,0.022222222222222143,0.021978906718775167,0.027173913043478284,SOFI,mid,stooq
2024-03-28,7.33,7.47,7.29,7.3,30108132,-0.00815217391304357,-0.008185584586439518,0.024657534246575304,SOFI,mid,stooq
2024-04-01,7.31,7.34,7.12,7.22,31681880,-0.010958904109588996,-0.011019395249610538,0.03047091412742379,SOFI,mid,stooq
2024-04-02,7.05,7.22,6.97,7.2,29678761,-0.0027700831024930483,-0.002773926882725208,0.034722222222222224,SOFI,mid,stooq
2024-04-03,7.31,7.58,7.23,7.54,50638570,0.047222222222222276,0.04614115599785513,0.046419098143236026,SOFI,mid,stooq
2024-04-04,7.65,7.71,7.27,7.31,49594112,-0.0305039787798409,-0.030978908258177625,0.06019151846785231,SOFI,mid,stooq
2024-04-05,7.3,7.46,7.25,7.4,29257911,0.012311901504788114,0.012236726448437084,0.028378378378378373,SOFI,mid,stooq
2024-04-08,7.51,7.77,7.5,7.76,56858152,0.048648648648648596,0.04750233398500326,0.034793814432989636,SOFI,mid,stooq
2024-04-09,7.82,7.94,7.73,7.89,46553984,0.01675257731958757,0.016613800662655432,0.026615969581749045,SOFI,mid,stooq
2024-04-10,7.65,7.8,7.4802,7.56,53826071,-0.041825095057034245,-0.04272494466634127,0.042301587301587285,SOFI,mid,stooq
2024-04-11,7.57,7.64,7.43,7.64,28651658,0.010582010582010692,0.010526412986987603,0.027486910994764396,SOFI,mid,stooq
2024-04-12,7.56,7.6,7.3,7.33,36704142,-0.04057591623036649,-0.041422087279869,0.04092769440654841,SOFI,mid,stooq
2024-04-15,7.33,7.42,7.08,7.12,33759430,-0.028649386084583894,-0.02906779047467572,0.04775280898876402,SOFI,mid,stooq
2024-04-16,7.045,7.285,6.97,7.2,34200478,0.011235955056179803,0.011173300598125255,0.04375000000000005,SOFI,mid,stooq
2024-04-17,7.23,7.34,7.12,7.16,29625583,-0.005555555555555536,-0.00557104504945536,0.030726256983240188,SOFI,mid,stooq
2024-04-18,7.16,7.38,7.07,7.13,34419077,-0.0041899441340782495,-0.004198746546349716,0.04347826086956516,SOFI,mid,stooq
2024-04-19,7.08,7.28,7.05,7.12,36690364,-0.0014025245441794398,-0.0014035090023200867,0.03230337078651691,SOFI,mid,stooq
2024-04-22,7.17,7.29,7.105,7.25,31327419,0.018258426966292207,0.01809374344269908,0.02551724137931029,SOFI,mid,stooq
2024-04-23,7.24,7.59,7.22,7.58,40321465,0.04551724137931035,0.044511730787696886,0.04881266490765173,SOFI,mid,stooq
