date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,59.01,59.2,55.97,56.66,5930170,,,0.05700670667137318,TWLO,mid,stooq
2024-03-06,57.57,58.58,56.55,58.56,4814583,0.03353335686551362,0.032983375250685655,0.034665300546448105,TWLO,mid,stooq
2024-03-07,59.0,61.355,58.69,61.16,4960749,0.0443989071038251,0.0434415114078054,0.0435742315238718,TWLO,mid,stooq
2024-03-08,61.42,63.09,61.3648,61.86,3700397,0.0114453891432309,0.011380386196062036,0.027888781118655042,TWLO,mid,stooq
2024-03-11,61.69,63.02,61.2351,61.92,2816107,0.0009699321047527132,0.0009694620245481637,0.02882590439276486,TWLO,mid,stooq
2024-03-12,62.59,62.85,61.75,62.21,2460880,0.004683462532299787,0.004672529245456778,0.017682044687349324,TWLO,mid,stooq
2024-03-13,61.82,63.26,61.75,62.3,2392882,0.0014467127471466945,0.0014456672664789842,0.02423756019261634,TWLO,mid,stooq
2024-03-14,62.03,62.77,60.545,60.89,2741421,-0.02263242375601926,-0.022892468172924747,0.03654130399080311,TWLO,mid,stooq
2024-03-15,60.46,61.03,59.62,59.66,4010435,-0.020200361307275427,-0.020407178533880264,0.023633925578276965,TWLO,mid,stooq
2024-03-18,59.74,61.18,59.59,60.71,2784127,0.01759973181361052,0.01744665005574028,0.02619008400592977,TWLO,mid,stooq
2024-03-19,59.86,61.89,59.75,61.59,2852137,0.014495140833470588,0.014391090556609205,0.034745900308491645,TWLO,mid,stooq
2024-03-20,61.35,62.255,61.1,61.91,2188144,0.0051956486442603644,0.005182197832188803,0.018656113713455033,TWLO,mid,stooq
2024-03-21,62.14,62.68,61.515,61.54,2781476,-0.005976417380067822,-0.005994347637244978,0.018930776730581723,TWLO,mid,stooq
2024-03-22,61.38,61.84,61.02,61.57,2067388,0.0004874878128047211,0.00048736902922303564,0.013318174435601758,TWLO,mid,stooq
2024-03-25,61.35,62.83,61.35,62.27,2125785,0.011369173298684476,0.011305029961241891,0.023767464268508058,TWLO,mid,stooq
2024-03-26,62.6,62.66,60.68,60.71,2471940,-0.025052192066805867,-0.025371339742017947,0.032614066875308795,TWLO,mid,stooq
2024-03-27,61.35,61.6044,60.78,61.01,2068922,0.0049415252841376045,0.004929356021418298,0.013512538928044536,TWLO,mid,stooq
2024-03-28,61.0,61.47,60.8101,61.15,5440661,0.0022947057859368236,0.002292076969420377,0.01079149632052331,TWLO,mid,stooq
2024-04-01,61.35,63.4,61.23,62.45,3858647,0.021259198691741643,0.021036374438405343,0.0347477982385909,TWLO,mid,stooq
2024-04-02,61.13,61.6,60.612,60.89,2509926,-0.024979983987189813,-0.025297278951104035,0.016225981277713904,TWLO,mid,stooq
2024-04-03,60.56,61.24,60.33,60.95,2997001,0.0009853834784037119,0.0009848983067978548,0.014930270713699813,TWLO,mid,stooq
2024-04-04,60.8,62.26,59.91,60.13,2326168,-0.013453650533224004,-0.013544970875803274,0.03908198902378183,TWLO,mid,stooq
2024-04-05,60.0,60.62,59.63,60.08,1832577,-0.0008315316813570783,-0.0008318775955980226,0.016478029294274218,TWLO,mid,stooq
2024-04-08,60.08,61.36,60.06,61.27,2437156,0.019806924101198442,0.019613319281683934,0.021217561612534633,TWLO,mid,stooq
2024-04-09,61.46,62.225,60.96,61.61,2186268,0.005549208421739671,0.005533868288915966,0.020532381106963166,TWLO,mid,stooq
2024-04-10,60.64,61.95,60.31,61.85,2297743,0.0038954715143646457,0.0038879038120176687,0.026515763945028303,TWLO,mid,stooq
2024-04-11,62.49,62.49,61.02,61.33,2367054,-0.008407437348423641,-0.008442979200604581,0.023968693950758176,TWLO,mid,stooq
2024-04-12,60.81,61.21,60.48,60.85,2192116,-0.007826512310451617,-0.007857300204356142,0.011996713229252325,TWLO,mid,stooq
2024-04-15,60.7,61.21,58.94,59.03,2420641,-0.02990961380443713,-0.03036603018093817,0.03845502286972731,TWLO,mid,stooq
2024-04-16,58.87,59.5,58.4501,59.17,2481373,0.0023716754192784073,0.002368867436004779,0.01774378908230524,TWLO,mid,stooq
2024-04-17,59.51,60.15,58.73,58.74,1720629,-0.007267196214297833,-0.007293730918128735,0.02417432754511409,TWLO,mid,stooq
2024-04-18,58.75,59.6,58.41,58.42,2145943,-0.005447735784814389,-0.0054626288108790624,0.020369736391646777,TWLO,mid,stooq
2024-04-19,58.11,58.81,57.5,57.555,2057492,-0.014806573091407094,-0.014917284592569552,0.02276083745982108,TWLO,mid,stooq
2024-04-22,57.95,58.89,57.61,58.61,1906994,0.018330292763443667,0.01816431812131247,0.021839276573963506,TWLO,mid,stooq
2024-04-23,58.99,60.48,58.961,60.33,1870668,0.029346527896263463,0.028924161964332538,0.025178186640145837,TWLO,mid,stooq
2024-04-24,60.94,61.12,59.79,60.98,1659640,0.010774075915796377,0.010716449107438278,0.021810429649065242,TWLO,mid,stooq
2024-04-25,59.52,60.045,58.77,60.01,2266750,-0.015906854706461138,-0.016034726558687245,0.021246458923512724,TWLO,mid,stooq
2024-04-26,60.97,61.25,60.49,60.89,1602557,0.014664222629561685,0.014557742619061176,0.012481524059779899,TWLO,mid,stooq
2024-04-29,61.34,62.17,61.01,61.26,1731405,0.006076531450156075,0.006058143784146534,0.01893568396996415,TWLO,mid,stooq
2024-04-30,60.81,61.33,59.87,59.88,1908092,-0.022526934378060637,-0.02278454185320149,0.024382097528390125,TWLO,mid,stooq
2024-05-01,59.8,62.17,59.705,60.95,2014100,0.017869071476285914,0.017711296375852933,0.040442986054142795,TWLO,mid,stooq
2024-05-02,61.6,61.89,60.43,61.52,1941459,0.009351927809680083,0.00930846927010802,0.02373211963589078,TWLO,mid,stooq
2024-05-03,62.72,62.75,61.5,61.89,2243789,0.006014304291287242,0.005996290553881469,0.020197123929552432,TWLO,mid,stooq
2024-05-06,62.58,63.54,62.39,63.31,2226005,0.022943932783971555,0.022684678804765004,0.018164586953087956,TWLO,mid,stooq
2024-05-07,63.0,63.91,62.81,63.37,4908647,0.0009477175801611004,0.000947268779390431,0.017358371469149352,TWLO,mid,stooq
2024-05-08,60.19,60.54,57.8,58.62,8833019,-0.0749566040713271,-0.0779146280526792,0.04674172637325148,TWLO,mid,stooq
2024-05-09,58.7,60.24,58.7,59.5,3824679,0.015011941316956712,0.014900377268837743,0.025882352941176457,TWLO,mid,stooq
2024-05-10,59.61,60.22,59.02,60.1,2688176,0.010084033613445342,0.010033528989577784,0.019966722129783624,TWLO,mid,stooq
2024-05-13,60.36,62.28,60.11,62.24,3072968,0.0356073211314476,0.03498803832897428,0.034865038560411336,TWLO,mid,stooq
2024-05-14,62.325,62.895,62.12,62.22,2173377,-0.0003213367609254947,-0.00032138840064524553,0.01245580199292841,TWLO,mid,stooq
