date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,2.65,2.65,2.415,2.46,1706053,,,0.0955284552845528,KOPN,small,stooq
2024-03-06,2.48,2.57,2.4,2.51,1135802,0.020325203252032464,0.020121403199421028,0.06772908366533863,KOPN,small,stooq
2024-03-07,2.52,2.57,2.49,2.5,884697,-0.003984063745019806,-0.003992021269537338,0.03199999999999985,KOPN,small,stooq
2024-03-08,2.55,2.61,2.42,2.44,1185708,-0.02400000000000002,-0.024292692569044587,0.07786885245901637,KOPN,small,stooq
2024-03-11,2.45,2.455,2.3809,2.41,698434,-0.012295081967213073,-0.012371291802546829,0.030746887966805,KOPN,small,stooq
2024-03-12,2.39,2.41,2.28,2.36,1574777,-0.020746887966805128,-0.02096512846504508,0.05508474576271201,KOPN,small,stooq
2024-03-13,2.36,2.39,2.3,2.32,772219,-0.016949152542372947,-0.017094433359300183,0.038793103448275995,KOPN,small,stooq
2024-03-14,2.32,2.325,2.17,2.19,1843261,-0.05603448275862066,-0.05766564184980911,0.07077625570776268,KOPN,small,stooq
2024-03-15,1.95,2.01,1.86,1.9,3555872,-0.13242009132420096,-0.14204765765601474,0.07894736842105247,KOPN,small,stooq
2024-03-18,1.98,2.205,1.98,2.04,2569355,0.0736842105263158,0.07109592168373026,0.11029411764705886,KOPN,small,stooq
2024-03-19,2.0,2.04,1.89,1.9,2404778,-0.06862745098039225,-0.07109592168373034,0.07894736842105271,KOPN,small,stooq
2024-03-20,1.9,1.97,1.78,1.94,2647529,0.021052631578947434,0.020834086902842053,0.09793814432989688,KOPN,small,stooq
2024-03-21,2.01,2.105,1.91,2.06,2734025,0.061855670103092786,0.06001800972625295,0.09466019417475731,KOPN,small,stooq
2024-03-22,2.07,2.07,1.89,1.9,1305734,-0.07766990291262144,-0.08085209662909502,0.09473684210526313,KOPN,small,stooq
2024-03-25,1.9,1.95,1.87,1.87,875668,-0.015789473684210464,-0.015915455305899457,0.04278074866310152,KOPN,small,stooq
2024-03-26,1.88,1.9,1.8,1.83,1148957,-0.021390374331550777,-0.021622464013165657,0.05464480874316932,KOPN,small,stooq
2024-03-27,1.86,1.89,1.8117,1.85,747791,0.010928961748633892,0.010869672236903891,0.042324324324324224,KOPN,small,stooq
2024-03-28,1.86,1.87,1.77,1.8,957675,-0.027027027027027084,-0.027398974188114503,0.0555555555555556,KOPN,small,stooq
2024-04-01,1.8,1.82,1.73,1.745,1045115,-0.030555555555555558,-0.031032109247728524,0.05157593123209173,KOPN,small,stooq
2024-04-02,1.72,1.735,1.6,1.65,1404647,-0.05444126074498579,-0.055979267741901366,0.08181818181818183,KOPN,small,stooq
