date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,0.88,0.8899,0.802,0.863,4567896,,,0.10185399768250288,OCGN,small,stooq
2024-03-06,0.8466,0.8782,0.842,0.87,2090308,0.008111239860950192,0.008078520565201476,0.04160919540229886,OCGN,small,stooq
2024-03-07,0.89,1.03,0.8705,1.01,7808225,0.16091954022988508,0.14921239818667575,0.1579207920792079,OCGN,small,stooq
2024-03-08,1.04,1.09,0.98,0.988,6580521,-0.0217821782178218,-0.02202291208743734,0.11133603238866407,OCGN,small,stooq
2024-03-11,0.9998,1.02,0.93,0.9423,3690708,-0.04625506072874486,-0.04735900253515717,0.09551098376313273,OCGN,small,stooq
2024-03-12,0.96,1.01,0.96,0.984,3399228,0.044253422476918214,0.043302201839542906,0.05081300813008135,OCGN,small,stooq
2024-03-13,1.0,1.08,0.9901,1.04,5556520,0.05691056910569103,0.0553500950831649,0.08644230769230778,OCGN,small,stooq
2024-03-14,1.06,1.0892,1.01,1.02,3194074,-0.019230769230769273,-0.019418085857101627,0.07764705882352935,OCGN,small,stooq
2024-03-15,1.05,1.09,1.02,1.08,3617909,0.05882352941176472,0.05715841383994862,0.06481481481481487,OCGN,small,stooq
2024-03-18,1.09,1.22,1.01,1.03,10727147,-0.04629629629629628,-0.047402238894583906,0.20388349514563103,OCGN,small,stooq
2024-03-19,1.05,1.1,1.03,1.1,3377325,0.06796116504854366,0.06575137756278043,0.06363636363636369,OCGN,small,stooq
2024-03-20,1.11,1.25,1.1,1.24,8719803,0.1272727272727272,0.11980119981262058,0.1209677419354838,OCGN,small,stooq
2024-03-21,1.32,1.6,1.3,1.34,29765575,0.08064516129032273,0.07755823434587464,0.22388059701492538,OCGN,small,stooq
2024-03-22,1.45,1.71,1.41,1.64,32005125,0.22388059701492513,0.20202662787328685,0.18292682926829273,OCGN,small,stooq
2024-03-25,1.87,2.105,1.72,1.83,44074756,0.11585365853658547,0.10961972501722261,0.21038251366120217,OCGN,small,stooq
2024-03-26,1.83,2.0,1.52,1.73,27657700,-0.05464480874316946,-0.05619455834364206,0.2774566473988439,OCGN,small,stooq
2024-03-27,1.73,1.85,1.62,1.78,10594790,0.028901734104046284,0.02849195579430624,0.1292134831460674,OCGN,small,stooq
2024-03-28,1.75,1.76,1.57,1.64,9169141,-0.07865168539325851,-0.08191712246788681,0.11585365853658534,OCGN,small,stooq
2024-04-01,1.61,1.61,1.43,1.54,9286171,-0.060975609756097504,-0.06291382541056921,0.11688311688311698,OCGN,small,stooq
2024-04-02,1.44,1.45,1.34,1.38,9604715,-0.10389610389610393,-0.1096989172564245,0.07971014492753614,OCGN,small,stooq
2024-04-03,1.37,1.6,1.361,1.505,10014980,0.0905797101449275,0.08670939903172568,0.15880398671096355,OCGN,small,stooq
2024-04-04,1.56,1.67,1.51,1.51,8234743,0.0033222591362127574,0.003316752625994042,0.1059602649006622,OCGN,small,stooq
2024-04-05,1.58,1.91,1.55,1.83,20801099,0.21192052980132448,0.1922063160264966,0.19672131147540975,OCGN,small,stooq
2024-04-08,2.01,2.08,1.84,1.88,19662552,0.027322404371584508,0.02695580998852808,0.1276595744680851,OCGN,small,stooq
2024-04-09,1.87,1.92,1.691,1.71,10220143,-0.09042553191489355,-0.09477840632728929,0.1339181286549707,OCGN,small,stooq
2024-04-10,1.76,1.82,1.72,1.8,5751943,0.05263157894736836,0.05129329438755048,0.0555555555555556,OCGN,small,stooq
2024-04-11,1.85,1.86,1.66,1.69,6795805,-0.061111111111111116,-0.06305813596713691,0.1183431952662723,OCGN,small,stooq
2024-04-12,1.69,1.76,1.6,1.71,8058262,0.01183431952662728,0.01176484157958643,0.09356725146198826,OCGN,small,stooq
2024-04-15,1.67,1.69,1.52,1.59,6894779,-0.07017543859649111,-0.07275935428242819,0.10691823899371064,OCGN,small,stooq
2024-04-16,1.55,1.6,1.52,1.59,2985052,0.0,0.0,0.050314465408805076,OCGN,small,stooq
2024-04-17,1.595,1.64,1.4,1.44,7220787,-0.09433962264150952,-0.09909090264423101,0.16666666666666666,OCGN,small,stooq
2024-04-18,1.48,1.53,1.27,1.32,8069804,-0.08333333333333326,-0.08701137698962969,0.19696969696969696,OCGN,small,stooq
2024-04-19,1.29,1.37,1.27,1.315,6565806,-0.0037878787878788955,-0.003795070968551721,0.07604562737642592,OCGN,small,stooq
2024-04-22,1.35,1.36,1.21,1.24,7685032,-0.057034220532319324,-0.058725286012782305,0.12096774193548399,OCGN,small,stooq
2024-04-23,1.21,1.31,1.18,1.25,6900697,0.008064516129032251,0.008032171697264253,0.10400000000000009,OCGN,small,stooq
2024-04-24,1.27,1.2897,1.15,1.18,7358032,-0.05600000000000005,-0.057629112836636416,0.11838983050847472,OCGN,small,stooq
2024-04-25,1.15,1.25,1.11,1.18,6861511,0.0,0.0,0.11864406779661009,OCGN,small,stooq
2024-04-26,1.21,1.31,1.19,1.28,5390899,0.0847457627118644,0.0813456394539524,0.09375000000000008,OCGN,small,stooq
2024-04-29,1.26,1.44,1.26,1.39,7642700,0.0859375,0.08244366921107459,0.1294964028776978,OCGN,small,stooq
2024-04-30,1.38,1.39,1.2505,1.32,4768316,-0.050359712230215736,-0.05167201054432081,0.10568181818181814,OCGN,small,stooq
2024-05-01,1.32,1.44,1.3101,1.39,5070480,0.05303030303030298,0.05167201054432086,0.09345323741007187,OCGN,small,stooq
2024-05-02,1.41,1.41,1.32,1.32,5058840,-0.050359712230215736,-0.05167201054432081,0.06818181818181807,OCGN,small,stooq
2024-05-03,1.36,1.42,1.32,1.33,4822158,0.007575757575757569,0.007547205635382904,0.07518796992481193,OCGN,small,stooq
2024-05-06,1.34,1.65,1.33,1.63,13437004,0.22556390977443597,0.20340107258500847,0.1963190184049079,OCGN,small,stooq
2024-05-07,1.6,1.71,1.51,1.57,6477776,-0.036809815950920144,-0.03750439545845417,0.1273885350318471,OCGN,small,stooq
2024-05-08,1.56,1.75,1.51,1.72,10308209,0.09554140127388533,0.09124867146514497,0.13953488372093023,OCGN,small,stooq
