date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,2.96,2.98,2.76,2.78,20459153,,,0.07913669064748209,OPEN,small,stooq
2024-03-06,2.91,3.04,2.81,2.95,20173341,0.06115107913669071,0.05935424264918282,0.07796610169491525,OPEN,small,stooq
2024-03-07,3.02,3.06,2.86,2.97,16501593,0.006779661016949268,0.006756782462879907,0.0673400673400674,OPEN,small,stooq
2024-03-08,3.05,3.24,3.02,3.06,24685176,0.030303030303030276,0.02985296314968113,0.07189542483660137,OPEN,small,stooq
2024-03-11,3.06,3.065,2.89,2.91,17815060,-0.04901960784313719,-0.05026183478088819,0.06013745704467348,OPEN,small,stooq
2024-03-12,2.9,2.98,2.81,2.86,17178439,-0.01718213058419249,-0.017331456351639976,0.05944055944055942,OPEN,small,stooq
2024-03-13,2.86,3.0,2.835,2.86,14733169,0.0,0.0,0.05769230769230771,OPEN,small,stooq
2024-03-14,2.82,2.8305,2.58,2.63,19021764,-0.08041958041958042,-0.08383777864208804,0.09524714828897328,OPEN,small,stooq
2024-03-15,2.6,2.72,2.51,2.67,30294767,0.015209125475285079,0.015094626222484888,0.07865168539325858,OPEN,small,stooq
2024-03-18,2.71,3.03,2.665,2.88,36149575,0.0786516853932584,0.07571182173569638,0.12673611111111105,OPEN,small,stooq
2024-03-19,2.81,2.85,2.65,2.74,19943291,-0.04861111111111105,-0.04983237374787564,0.07299270072992707,OPEN,small,stooq
2024-03-20,2.75,3.0,2.715,2.98,18693106,0.0875912408759123,0.08396538011733412,0.09563758389261749,OPEN,small,stooq
2024-03-21,3.1,3.18,3.02,3.13,21225224,0.05033557046979853,0.049109704034748645,0.051118210862619855,OPEN,small,stooq
2024-03-22,3.08,3.1499,2.93,2.98,17583205,-0.04792332268370603,-0.04910970403474872,0.07379194630872482,OPEN,small,stooq
2024-03-25,2.94,3.11,2.925,2.95,15727507,-0.010067114093959662,-0.010118130165584554,0.06271186440677967,OPEN,small,stooq
2024-03-26,2.97,3.03,2.9,2.91,11887768,-0.013559322033898313,-0.01365208916832732,0.0446735395189003,OPEN,small,stooq
2024-03-27,2.97,2.97,2.86,2.95,13784166,0.013745704467353903,0.013652089168327263,0.037288135593220445,OPEN,small,stooq
2024-03-28,2.94,3.23,2.94,3.03,23942733,0.027118644067796405,0.026757449169549117,0.09570957095709573,OPEN,small,stooq
2024-04-01,3.04,3.06,2.87,2.91,16271011,-0.03960396039603953,-0.04040953833787655,0.06529209621993125,OPEN,small,stooq
2024-04-02,2.76,2.815,2.7,2.78,13311986,-0.04467353951890041,-0.04570215348085551,0.04136690647482007,OPEN,small,stooq
2024-04-03,2.75,2.9,2.75,2.87,10135201,0.03237410071942448,0.031861102068984064,0.052264808362369304,OPEN,small,stooq
