date,open,high,low,close,volume,returns,log_returns,range_pct,ticker,cap_tier,source
2024-03-05,12.97,13.53,11.94,12.25,33797604,,,0.12979591836734694,RIOT,small,stooq
2024-03-06,12.96,13.02,11.99,12.12,26071853,-0.0106122448979592,-0.010668956349567615,0.08498349834983493,RIOT,small,stooq
2024-03-07,12.04,12.36,11.75,11.97,21504512,-0.012376237623762276,-0.012453461071286512,0.050960735171261436,RIOT,small,stooq
2024-03-08,12.03,13.1967,12.015,12.35,28611866,0.03174603174603163,0.031252543504104315,0.09568421052631573,RIOT,small,stooq
2024-03-11,12.83,12.9,11.73,11.78,26591078,-0.04615384615384621,-0.047252884850545615,0.09932088285229201,RIOT,small,stooq
2024-03-12,11.85,11.91,11.295,11.62,20966461,-0.01358234295415961,-0.013675426799675495,0.052925989672977646,RIOT,small,stooq
2024-03-13,11.67,12.195,11.64,11.73,19500859,0.009466437177280573,0.009421911241618947,0.047314578005115064,RIOT,small,stooq
2024-03-14,11.5,11.53,10.6,10.93,21896113,-0.06820119352088672,-0.07063836047693701,0.0850869167429094,RIOT,small,stooq
2024-03-15,10.74,11.83,10.66,11.6,26319016,0.061299176578225145,0.05949379592387184,0.10086206896551723,RIOT,small,stooq
2024-03-18,11.45,11.84,11.07,11.43,16502045,-0.014655172413793105,-0.014763620305599676,0.06736657917760276,RIOT,small,stooq
2024-03-19,10.99,11.28,10.49,11.09,17173594,-0.02974628171478566,-0.03019767644444363,0.07123534715960317,RIOT,small,stooq
2024-03-20,11.75,12.43,11.2,12.4,28659452,0.11812443642921555,0.11165267124871556,0.0991935483870968,RIOT,small,stooq
2024-03-21,12.425,12.62,11.9299,11.98,21698205,-0.03387096774193543,-0.03445787992368784,0.05760434056761263,RIOT,small,stooq
2024-03-22,11.745,11.81,11.33,11.4,15608780,-0.048414023372287174,-0.049625237286853544,0.04210526315789477,RIOT,small,stooq
2024-03-25,11.6,12.55,11.59,12.44,25910264,0.09122807017543844,0.08730373191058347,0.07717041800643094,RIOT,small,stooq
